"id","camp_name","year","location","loc_cow","prim_meth","camp_orgs","camp_orgs_list","div_ethnicity","div_religion","EPR_GROUP","EPR_ID","PARTICIPATION","PRIMARY","CLAIM","SOURCES","NOTES","status","egip_participated","egip_claimed","egip_participated_claimed","statename","egip_groups_count","excl_groups_count","regaut_groups_count","discrim_groups_count","powerless_groups_count","egippop","exclpop","alonerule_groups_count","powershare_groups_count","alonerulepop","powersharepop","IFI","EFI","legippop","lexclpop","discrimpop","ldiscrimpop","powerlesspop","lpowerlesspop"
12,"Anti-Chiluba",2001,"Zambia",551,1,1,"United Party for National Development",1,1,"Bemba speakers",55101000,1,1,0,"WCRWWA","","SENIOR PARTNER",1,0,0,"Zambia",7,0,0,0,0,1,0,0,7,0,1,0.2974,0,1,0,0,0,0,0
12,"Anti-Chiluba",2001,"Zambia",551,1,1,"United Party for National Development",1,1,"Kaonde (NW Province)",55102000,1,0,0,"WCRWWA","","JUNIOR PARTNER",1,0,0,"Zambia",7,0,0,0,0,1,0,0,7,0,1,0.2974,0,1,0,0,0,0,0
12,"Anti-Chiluba",2001,"Zambia",551,1,1,"United Party for National Development",1,1,"Lozi (Barotse)",55103000,1,0,0,"WCRWWA","","JUNIOR PARTNER",1,0,0,"Zambia",7,0,0,0,0,1,0,0,7,0,1,0.2974,0,1,0,0,0,0,0
12,"Anti-Chiluba",2001,"Zambia",551,1,1,"United Party for National Development",1,1,"Lunda (NW Province)",55104000,1,0,0,"WCRWWA","","JUNIOR PARTNER",1,0,0,"Zambia",7,0,0,0,0,1,0,0,7,0,1,0.2974,0,1,0,0,0,0,0
12,"Anti-Chiluba",2001,"Zambia",551,1,1,"United Party for National Development",1,1,"Luvale (NW Province)",55105000,1,0,0,"WCRWWA","","JUNIOR PARTNER",1,0,0,"Zambia",7,0,0,0,0,1,0,0,7,0,1,0.2974,0,1,0,0,0,0,0
12,"Anti-Chiluba",2001,"Zambia",551,1,1,"United Party for National Development",1,1,"Nyanja speakers (Easterners)",55106000,1,0,0,"WCRWWA","","SENIOR PARTNER",1,0,0,"Zambia",7,0,0,0,0,1,0,0,7,0,1,0.2974,0,1,0,0,0,0,0
12,"Anti-Chiluba",2001,"Zambia",551,1,1,"United Party for National Development",1,1,"Tonga-Ila-Lenje (Southerners)",55107000,1,0,0,"WCRWWA","","SENIOR PARTNER",1,0,0,"Zambia",7,0,0,0,0,1,0,0,7,0,1,0.2974,0,1,0,0,0,0,0
13,"Anti-Diouf",2000,"Senegal",433,1,1,"Front pour l'Alternance (FAL)",1,1,"Wolof",43301000,1,1,0,"WCRWWA","","SENIOR PARTNER",1,0,0,"Senegal",5,0,0,0,0,0.95,0,0,5,0,0.95,0.27405,0,1,0,0,0,0,0
13,"Anti-Diouf",2000,"Senegal",433,1,1,"Front pour l'Alternance (FAL)",1,1,"Pulaar",43302000,1,0,0,"WCRWWA","","JUNIOR PARTNER",1,0,0,"Senegal",5,0,0,0,0,0.95,0,0,5,0,0.95,0.27405,0,1,0,0,0,0,0
13,"Anti-Diouf",2000,"Senegal",433,1,1,"Front pour l'Alternance (FAL)",1,1,"Serer",43303000,1,0,0,"WCRWWA","","JUNIOR PARTNER",1,0,0,"Senegal",5,0,0,0,0,0.95,0,0,5,0,0.95,0.27405,0,1,0,0,0,0,0
14,"Anti-Doe rebels",1989,"Liberia",450,0,1,"National Patriotic Front of Liberia (NPFL)",0,0,"Gio",45003020,1,1,1,"ACD2EPR","NAVCO codes as not diverse, but ACD2EPR includes both Gio and Mano","DISCRIMINATED",0,0,0,"Liberia",1,3,0,3,0,0.05,0.17,1,0,0.05,0,0.0025,0.0117,0.227272727272727,0.772727272727273,0.17,0.772727272727273,0,0
14,"Anti-Doe rebels",1989,"Liberia",450,0,1,"National Patriotic Front of Liberia (NPFL)",0,0,"Mano",45003080,1,0,1,"ACD2EPR","NAVCO codes as not diverse, but ACD2EPR includes both Gio and Mano","DISCRIMINATED",0,0,0,"Liberia",1,3,0,3,0,0.05,0.17,1,0,0.05,0,0.0025,0.0117,0.227272727272727,0.772727272727273,0.17,0.772727272727273,0,0
15,"Anti-Duvalier",1985,"Haiti",41,1,2,"Radio Soleil, Catholic Church off Haiti",1,1,"Haitians",4101000,1,1,0,"EPR, NAVCO2","","IRRELEVANT",0,0,0,"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
