"id","camp_name","year","location","loc_cow","prim_meth","camp_orgs","camp_orgs_list","div_ethnicity","div_religion","EPR_GROUP","EPR_ID","PARTICIPATION","PRIMARY","CLAIM","SOURCES","NOTES","status","egip_participated","egip_claimed","egip_participated_claimed","statename","egip_groups_count","excl_groups_count","regaut_groups_count","discrim_groups_count","powerless_groups_count","egippop","exclpop","alonerule_groups_count","powershare_groups_count","alonerulepop","powersharepop","IFI","EFI","legippop","lexclpop","discrimpop","ldiscrimpop","powerlesspop","lpowerlesspop"
128,"Lebanon leftists",1975,"Lebanon",660,0,1,"Lebanese National Movement/National Struggle Front",1,1,"Sunnis (Arab)",66010000,1,1,0,"ACD2EPR","","SENIOR PARTNER",1,0,0,"Lebanon",7,4,0,1,3,0.86,0.13,0,7,0,0.86,0.1766,0.0103,0.868686868686869,0.131313131313131,0.1,0.101010101010101,0.03,0.0303030303030303
128,"Lebanon leftists",1975,"Lebanon",660,0,1,"Lebanese National Movement/National Struggle Front",1,1,"Druze",66002000,1,0,0,"ACD2EPR","","JUNIOR PARTNER",1,0,0,"Lebanon",7,4,0,1,3,0.86,0.13,0,7,0,0.86,0.1766,0.0103,0.868686868686869,0.131313131313131,0.1,0.101010101010101,0.03,0.0303030303030303
129,"Liberals of 1949",1946,"Colombia",100,1,1,"Colombian Liberal Party (Partido Liberal Colombiano; PLC)",0,0,"Whites/mestizos",10001000,1,1,0,"NAVCO2.1","","MONOPOLY",1,0,0,"Colombia",1,1,0,1,0,0.955,0.044,1,0,0.955,0,0.912025,0.001936,0.955955955955956,0.044044044044044,0.044,0.044044044044044,0,0
130,"Madagasar pro-democracy movement",2002,"Madagascar",580,1,1,"KMMR (Committee of support for Marc Ravalomanana)",1,1,"Highlanders",58002000,1,1,0,"UCDP","UCDP describes supporters of Ravalomanana as coming from highlands versus those of Radrisinka from coasts: https://ucdp.uu.se/nonstate/5503","IRRELEVANT",0,0,0,"Madagascar (Malagasy)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,"Malayan Emergency",1948,"Malaysia",820,0,11,"See references",0,0,"COL",NA,NA,NA,NA,"Colonial","",NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"Mali Anti-Military",1990,"Mali",432,1,3,"Assosciation des Etudiants et Eleves Maliens (AEEM), Alliance pour la democratic au Mali (ADEMA), Comite National d'initiative democratique (CNID)",0,1,"Blacks",43201000,1,1,0,"WCRWWA","Further Note: No evidence that shows any changes in composition over time.","MONOPOLY",1,0,0,"Mali",1,2,0,0,2,0.9,0.1,1,0,0.9,0,0.81,0.0058,0.9,0.1,0,0,0.1,0.1
133,"Leftist rebels (URNG)",1961,"Guatemala",90,0,2,"Partido Guademalteco de Trabajadores (PGT), Christian Democratic Party (PDCG)",0,0,"Ladinos",9001000,1,1,0,"ACD2EPR","","MONOPOLY",1,0,0,"Guatemala",1,1,0,1,0,0.48,0.515,1,0,0.48,0,0.2304,0.265225,0.482412060301508,0.517587939698492,0.515,0.517587939698492,0,0
134,"Mau Mau Rebellion",1952,"Kenya",501,0,2,"Kenya African Union (KAU), Mau Mau",1,0,"COL",NA,NA,NA,NA,"Colonial","",NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,"Mizo Revolt",1966,"India",750,0,2,"Mizo National Front (MNF), Mizo Union",0,0,"Mizos",75012000,1,1,1,"ACD2EPR","","POWERLESS",0,0,0,"India",14,6,0,0,6,0.9559,0.0115,0,14,0,0.9559,0.12975045,3.125e-05,0.988112466404796,0.0118875335952036,0,0,0.0115,0.0118875335952036
136,"Mohajir",1994,"Pakistan",770,0,1,"Muttahida Qaumi Mahaaz (MQM: Mohajir National Movement/Front)",0,0,"Mohajirs",77003000,1,1,1,"ACD2EPR","No further evidence that indicated involvement by other ethnic groups","POWERLESS",0,0,0,"Pakistan",2,6,0,3,3,0.7,0.285,0,2,0,0.7,0.3332,0.030109,0.710659898477157,0.289340101522843,0.025,0.0253807106598985,0.26,0.263959390862944
137,"Moluccans",1950,"Indonesia",850,0,1,"South Moluccan Republican separatists",0,1,"Amboinese",85002000,1,1,1,"ACD2EPR","","SELF-EXCLUSION",0,0,0,"Indonesia",1,13,0,1,11,0.45,0.3091,1,0,0.45,0,0.2025,0.02168385,0.5928072717692,0.4071927282308,0.02,0.0263469898564089,0.2849,0.375312870504545
138,"Mongolian Anti-communist",1989,"Mongolia",712,1,2,"Mongolian Democratic Union, Club of Young Economists",1,0,"Mongols",71203000,1,1,0,"NAVCO2, EPR","No further evidence that indicated involvement by other ethnic groups or change in composition.","DOMINANT",1,0,0,"Mongolia",1,1,0,0,1,0.9,0.05,1,0,0.9,0,0.81,0.0025,0.947368421052632,0.0526315789473684,0,0,0.05,0.0526315789473684
138,"Mongolian Anti-communist",1989,"Mongolia",712,1,2,"Mongolian Democratic Union, Club of Young Economists",1,0,"Kazakhs",71202000,1,0,0,"NAVCO2, EPR","No further evidence that indicated involvement by other ethnic groups or change in composition.","POWERLESS",1,0,0,"Mongolia",1,1,0,0,1,0.9,0.05,1,0,0.9,0,0.81,0.0025,0.947368421052632,0.0526315789473684,0,0,0.05,0.0526315789473684
139,"Moro National Liberation Front",1970,"Philippines",840,0,1,"",0,0,"Moro",84003000,1,1,1,"ACD2EPR","","POWERLESS",0,0,0,"Philippines",1,2,0,1,1,0.859,0.066,1,0,0.859,0,0.737881,0.002826,0.928648648648649,0.0713513513513514,0.015,0.0162162162162162,0.051,0.0551351351351351
140,"Moroccan Independence War",1953,"Morocco",600,0,2,"Istiqlal, Army of Liberation",1,0,"COL",NA,NA,NA,NA,"Colonial","",NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,"Muslim Brotherhood",1980,"Syria",652,0,8,"Islamic Front of Syria, Muslim Brotherhood, Sunni, Islamic Liberation Movement, Islamic Liberation Party, Muhammad's Youth, Jundullaj, At Tali'a Muqatilia (Marwan Hadid's group)",0,0,"Sunni Arabs",65202000,1,1,1,"ACD2EPR","","POWERLESS",0,0,0,"Syria",1,4,0,1,3,0.13,0.86,1,0,0.13,0,0.0169,0.4398,0.131313131313131,0.868686868686869,0.08,0.0808080808080808,0.78,0.787878787878788
142,"NFDLM secessionists",1964,"Kenya",501,0,2,"bandits; Northern Provice Peoples Progressive Party (NPPPP)",0,0,"Somali",50108000,1,1,1,"WCRWWA","NFDLM = Northern Frontier District Liberation Movement, a secessionist group of ethnic Somalis","DISCRIMINATED",0,0,0,"Kenya",6,2,0,1,1,0.85,0.07,0,6,0,0.85,0.1451,0.0029,0.923913043478261,0.0760869565217391,0.02,0.0217391304347826,0.05,0.0543478260869565
143,"NPFL & ULIMO",1992,"Liberia",450,0,4,"NPFL, ULIMO, INPFL, AFL",1,1,"Gio",45003020,1,1,1,"ACD2EPR","ACD2EPR designates this conflict as and specifically NPFL and INPFL as Gio and Mano","STATE COLLAPSE",0,0,0,"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,"NPFL & ULIMO",1992,"Liberia",450,0,4,"NPFL, ULIMO, INPFL, AFL",1,1,"Mano",45003080,1,0,1,"ACD2EPR","","STATE COLLAPSE",0,0,0,"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,"Naga Rebellion",1951,"India",750,1,0,"",0,0,"Nagas",75014000,1,1,1,"ACD2EPR","","POWERLESS",0,0,0,"India",14,5,0,0,5,0.9559,0.0105,0,14,0,0.9559,0.12975045,3.025e-05,0.989134933774835,0.0108650662251656,0,0,0.0105,0.0108650662251656
145,"National Resistance Army",1981,"Uganda",500,0,1,"0",1,1,"South-Westerners (Ankole, Banyoro, Toro, Banyarwanda)",50011000,1,1,0,"ACD2EPR","","DISCRIMINATED",0,0,0,"Uganda",1,5,0,5,0,0.18,0.539,1,0,0.18,0,0.0324,0.078641,0.248618784530387,0.744475138121547,0.539,0.744475138121547,0,0
145,"National Resistance Army",1981,"Uganda",500,0,1,"0",1,1,"Baganda",50002000,1,0,0,"ACD2EPR","","DISCRIMINATED",0,0,0,"Uganda",1,5,0,5,0,0.18,0.539,1,0,0.18,0,0.0324,0.078641,0.248618784530387,0.744475138121547,0.539,0.744475138121547,0,0
145,"National Resistance Army",1981,"Uganda",500,0,1,"0",1,1,"Far North-West Nile (Kakwa-Nubian, Madi, Lugbara, Alur)",50009110,1,0,1,"ACD2EPR","","DISCRIMINATED",0,0,0,"Uganda",1,5,0,5,0,0.18,0.539,1,0,0.18,0,0.0324,0.078641,0.248618784530387,0.744475138121547,0.539,0.744475138121547,0,0
146,"National Union Party",1948,"Costa Rica",94,0,1,"National Union Party (PUN)",1,0,"Whites/mestizos",9401000,1,1,0,"ACD2EPR","While NAVCO codes as divers, ACD2EPR identifies only Whites, no evidence of other groups found","MONOPOLY",1,0,0,"Costa Rica",1,2,0,2,0,0.837,0.102,1,0,0.837,0,0.700569,0.00666,0.891373801916933,0.108626198083067,0.102,0.108626198083067,0,0
147,"National Patriotic Forces",1996,"Liberia",450,0,1,"Liberia National Patriotic Front",1,0,"Gio",45003020,1,1,1,"ACD2EPR","","STATE COLLAPSE",0,0,0,"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,"National Patriotic Forces",1996,"Liberia",450,0,1,"Liberia National Patriotic Front",1,0,"Mano",45003080,1,0,0,"ACD2EPR","","STATE COLLAPSE",0,0,0,"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,"Naxalite rebellion",1967,"India",750,0,1,"Communist Party of India (Marxist)",0,0,"Scheduled Castes & Tribes",75021000,1,1,0,"WCRWWA","http://www.yourarticlelibrary.com/essay/naxalbari-movement-in-india/39347/","JUNIOR PARTNER",1,0,0,"India",14,6,0,0,6,0.9559,0.0115,0,14,0,0.9559,0.12975045,3.125e-05,0.988112466404796,0.0118875335952036,0,0,0.0115,0.0118875335952036
148,"Naxalite rebellion",1967,"India",750,0,1,"Communist Party of India (Marxist)",0,0,"Bengali (non-SC/ST)",75002000,1,0,0,"WCRWWA","http://www.yourarticlelibrary.com/essay/naxalbari-movement-in-india/39347/","JUNIOR PARTNER",1,0,0,"India",14,6,0,0,6,0.9559,0.0115,0,14,0,0.9559,0.12975045,3.125e-05,0.988112466404796,0.0118875335952036,0,0,0.0115,0.0118875335952036
149,"Nepalese Anti-government",2006,"Nepal",790,1,8,"Seven Party Alliance, Maoists Insurgents",0,1,"Caste Hill Hindu Elite",79001000,1,1,0,"Thurber 2021","","SENIOR PARTNER",1,0,0,"Nepal",5,1,0,0,1,0.95,0.04,0,5,0,0.95,0.2327,0.0016,0.95959595959596,0.0404040404040404,0,0,0.04,0.0404040404040404
149,"Nepalese Anti-government",2006,"Nepal",790,1,8,"Seven Party Alliance, Maoists Insurgents",0,1,"Adibasi Janajati",79002000,1,0,0,"Thurber 2021","","JUNIOR PARTNER",1,0,0,"Nepal",5,1,0,0,1,0.95,0.04,0,5,0,0.95,0.2327,0.0016,0.95959595959596,0.0404040404040404,0,0,0.04,0.0404040404040404
149,"Nepalese Anti-government",2006,"Nepal",790,1,8,"Seven Party Alliance, Maoists Insurgents",0,1,"Newars",79003000,1,0,0,"Thurber 2021","","JUNIOR PARTNER",1,0,0,"Nepal",5,1,0,0,1,0.95,0.04,0,5,0,0.95,0.2327,0.0016,0.95959595959596,0.0404040404040404,0,0,0.04,0.0404040404040404
149,"Nepalese Anti-government",2006,"Nepal",790,1,8,"Seven Party Alliance, Maoists Insurgents",0,1,"Dalits",79004000,1,0,0,"Thurber 2021","","JUNIOR PARTNER",1,0,0,"Nepal",5,1,0,0,1,0.95,0.04,0,5,0,0.95,0.2327,0.0016,0.95959595959596,0.0404040404040404,0,0,0.04,0.0404040404040404
149,"Nepalese Anti-government",2006,"Nepal",790,1,8,"Seven Party Alliance, Maoists Insurgents",0,1,"Madhesi",79005000,1,0,0,"Thurber 2021","","JUNIOR PARTNER",1,0,0,"Nepal",5,1,0,0,1,0.95,0.04,0,5,0,0.95,0.2327,0.0016,0.95959595959596,0.0404040404040404,0,0,0.04,0.0404040404040404
149,"Nepalese Anti-government",2006,"Nepal",790,1,8,"Seven Party Alliance, Maoists Insurgents",0,1,"Muslims",79006000,1,0,0,"Thurber 2021","","POWERLESS",1,0,0,"Nepal",5,1,0,0,1,0.95,0.04,0,5,0,0.95,0.2327,0.0016,0.95959595959596,0.0404040404040404,0,0,0.04,0.0404040404040404
150,"New People's Army",1972,"Philippines",840,0,3,"New People's Army (NPA), Communist People's Party (CPP), Kabataang Makabayan (KM)",1,0,"Christian lowlanders",84001000,1,1,0,"WCRWWA","No evidence of other groups -- revised NAVCO 2 seems to code as not diverse in this first year","DOMINANT",1,0,0,"Philippines",1,2,0,1,0,0.859,0.066,1,0,0.859,0,0.737881,0.002826,0.928648648648649,0.0713513513513514,0.015,0.0162162162162162,0,0
151,"Niger Anti-Military",1991,"Niger",436,1,1,"Union des Syndicats des Travailleurs du Niger (USTN)",1,0,"Djerma-Songhai",43601000,1,1,0,"WCRWWA","","DOMINANT",1,0,0,"Niger",1,4,0,1,3,0.22,0.69,1,0,0.22,0,0.0484,0.32205,0.241758241758242,0.758241758241758,0.08,0.0879120879120879,0.61,0.67032967032967
151,"Niger Anti-Military",1991,"Niger",436,1,1,"Union des Syndicats des Travailleurs du Niger (USTN)",1,0,"Hausa",43602000,1,0,0,"WCRWWA","Case where non-EGIP is bigger","POWERLESS",1,0,0,"Niger",1,4,0,1,3,0.22,0.69,1,0,0.22,0,0.0484,0.32205,0.241758241758242,0.758241758241758,0.08,0.0879120879120879,0.61,0.67032967032967
152,"Nigeria Anti-Military",1993,"Nigeria",475,1,11,"See references",1,1,"Hausa-Fulani",47501000,1,1,0,"WCRWWA","This could use some additional checking","DOMINANT",1,0,0,"Nigeria",1,5,0,2,3,0.29,0.52,1,0,0.29,0,0.0841,0.08715,0.358024691358025,0.641975308641975,0.105,0.12962962962963,0.415,0.512345679012346
152,"Nigeria Anti-Military",1993,"Nigeria",475,1,11,"See references",1,1,"Yoruba",47506000,1,0,0,"WCRWWA","","POWERLESS",1,0,0,"Nigeria",1,5,0,2,3,0.29,0.52,1,0,0.29,0,0.0841,0.08715,0.358024691358025,0.641975308641975,0.105,0.12962962962963,0.415,0.512345679012346
153,"Nigerian Independence Movement",1945,"Nigeria",475,1,11,"See references",1,0,"COL",NA,NA,NA,NA,"Colonial","",NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,"Nigerian Muslim fundamentalists",1980,"Nigeria",475,0,1,"Maitatsine Movement",1,0,"Hausa-Fulani",47501000,1,1,0,"WCRWWA","Interpret NAVCO's diversity coding as indicating more than one of groups that EPR aggregates as Hausa-Fulani","SENIOR PARTNER",1,0,0,"Nigeria",2,4,0,0,4,0.47,0.34,0,2,0,0.47,0.1165,0.05475,0.580246913580247,0.419753086419753,0,0,0.34,0.419753086419753
156,"National Liberation Front (Viet Cong)",1958,"South Vietnam",817,0,1,"Vietnam Worker's Party/Viet Cong",1,1,"Kinh (Vietnamese)",81702000,1,1,0,"WCRWWA","","DOMINANT",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,"National Liberation Front (Viet Cong)",1958,"South Vietnam",817,0,1,"Vietnam Worker's Party/Viet Cong",1,1,"Hoa (Chinese)",81701000,1,0,0,"WCRWWA","","POWERLESS",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,"Nyasaland African Congress",1958,"Malawi",553,1,1,"Nyasaland African Congress (NAC)",1,0,"COL",NA,NA,NA,NA,"Colonial","",NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"Ogoni movement",1990,"Nigeria",475,1,3,"Movement for the Survival of the Ogoni People (MOSOP), Committee for Ogoni Autonomy (COA), National Youth Council of Ogoni People (NYCOP)",0,0,"Ogoni",47504000,1,1,1,"WCRWWA","","POWERLESS",0,0,0,"Nigeria",1,5,0,0,5,0.29,0.52,1,0,0.29,0,0.0841,0.08715,0.358024691358025,0.641975308641975,0,0,0.52,0.641975308641975
159,"Orange Revolution",2001,"Ukraine",369,1,1,"National Salvation Front",1,1,"Ukrainians",36901000,1,1,0,"WCRWWA","No evidence shows any change in ethnic composition of conflict.","SENIOR PARTNER",1,0,0,"Ukraine",2,4,0,1,3,0.951,0.0162,0,2,0,0.951,0.635213,9.804e-05,0.983250620347395,0.0167493796526055,0.005,0.00516956162117452,0.0112,0.0115798180314309
159,"Orange Revolution",2001,"Ukraine",369,1,1,"National Salvation Front",1,1,"Russians",36902000,1,0,0,"WCRWWA","No evidence shows any change in ethnic composition of conflict.","JUNIOR PARTNER",1,0,0,"Ukraine",2,4,0,1,3,0.951,0.0162,0,2,0,0.951,0.635213,9.804e-05,0.983250620347395,0.0167493796526055,0.005,0.00516956162117452,0.0112,0.0115798180314309
160,"PAIGC",1963,"Guinea-Bissau",404,0,2,"African Party for the Independence of Guinea and Cape Verde (PAIGC), Front for the National Independence Struggle of Guinea-Bissau (FLING)",1,0,"COL",NA,NA,NA,NA,"Colonial","This is a case of a struggle for colonial independence and therefore is not included in our dataset",NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,"PF-ZAPU guerillas",1982,"Zimbabwe",552,0,2,"",0,0,"Ndebele-Kalanga-(Tonga)",55201100,1,1,0,"WCRWWA, Schaefer, ed. : https://books.google.com/books?id=STR1AwAAQBAJ&pg=PT1551&lpg=PT1551&dq=PF-ZAPU+ethnicity&source=bl&ots=Hpnx-ZQe-0&sig=WVTXXj5i_Y7L2WAD0ztNDFuCRWs&hl=en&sa=X&ved=0ahUKEwjFyZeR29TUAhUj0YMKHRtoAmYQ6AEIQjAF#v=onepage&q=PF-ZAPU%20ethnicity&f=false","","DISCRIMINATED",0,0,0,"Zimbabwe (Rhodesia)",2,2,0,2,0,0.77,0.23,0,2,0,0.77,0.5485,0.0409,0.77,0.23,0.23,0.23,0,0
162,"PMIC/New Forces",2002,"Ivory Coast",437,0,3,"PMIC, Mouvement Populaire du Grand Ouest (MPIGO) and the Mouvement pour la Justice et la Paix (MJP)",0,0,"Northerners",43703000,1,1,1,"ACD2EPR","Ches: ACD2EPR codes PMIC as Northerners and MPIGO as Southern Mande so I added Southern Mande. Tanner: While ACD2EPR also has MPIGO (coded southerner group) involved with this movement in addition to the MPCI. It would seem that both sides remained in the conflict until the end. ","DISCRIMINATED",1,1,1,"Cote D'Ivoire",4,1,0,1,0,0.63,0.34,0,4,0,0.63,0.1105,0.1156,0.649484536082474,0.350515463917526,0.34,0.350515463917526,0,0
162,"PMIC/New Forces",2002,"Ivory Coast",437,0,3,"PMIC, Mouvement Populaire du Grand Ouest (MPIGO) and the Mouvement pour la Justice et la Paix (MJP)",0,0,"Southern Mande",43705000,1,1,1,"ACD2EPR","Ches: ACD2EPR codes PMIC as Northerners and MPIGO as Southern Mande so I added Southern Mande. Tanner: While ACD2EPR also has MPIGO (coded southerner group) involved with this movement in addition to the MPCI. It would seem that both sides remained in the conflict until the end. ","JUNIOR PARTNER",1,1,1,"Cote D'Ivoire",4,1,0,1,0,0.63,0.34,0,4,0,0.63,0.1105,0.1156,0.649484536082474,0.350515463917526,0.34,0.350515463917526,0,0
163,"Pakistan Pro-Democracy Movement",1983,"Pakistan",770,1,9,"Movement for the Restoration of Democracy (MRD), Sind Awami Tehrik (SAT), New Sindhi National Front, Pakistan's People Party, Tehrik-i-Istiqlal (TI), National Democratic Party (NDP), Mazdoor Kisan Party",0,0,"Sindhi",77006000,1,1,0,"WCRWWA","","POWERLESS",0,0,0,"Pakistan",3,4,0,2,2,0.79,0.188,0,3,0,0.79,0.3425,0.02076,0.807770961145194,0.192229038854806,0.018,0.0184049079754601,0.17,0.173824130879346
164,"Palestinian Liberation",1964,"Palestinian Territories",NA,0,2,"ANM,PLO/PLA",0,0,"Israeli Arabs",66601100,1,1,1,"ACD2EPR","Best approximation is ""Israeli Arabs"" as Palestinians are not treated as distinct entity in this period (should Palestinians in Jordan be added?!?)","DISCRIMINATED",0,0,0,"Vietnam, Democratic Republic of",1,1,0,0,1,0.794507,0.0101729,1,0,0.794507,0,0.631241373049,0.00010348789441,0.902890304249305,0.0115606442436602,0,0,0.0101729,0.0115606442436602
165,"Palestinian activists",1970,"Jordan",663,0,2,"PLO (Palestine Liberation Organization), PFLP (Popular Front for the Liberation of Palestine),",0,1,"Palastinian Arabs",66302000,1,1,1,"WCRWWA","","DISCRIMINATED",0,0,0,"Jordan",1,2,0,1,1,0.4,0.56,1,0,0.4,0,0.16,0.2536,0.416666666666667,0.583333333333333,0.5,0.520833333333333,0.06,0.0625
166,"Paraguay leftist rebellion",1947,"Paraguay",150,0,1,"Febreristas",0,0,"Whites/mestizos",15001000,1,1,0,"ACD2EPR","","MONOPOLY",1,0,0,"Paraguay",1,1,0,1,0,0.945,0.02,1,0,0.945,0,0.893025,4e-04,0.979274611398964,0.0207253886010363,0.02,0.0207253886010363,0,0
167,"Second Pathet Lao",1959,"Laos",812,0,2,"Pathet Lao, Neutralists",1,1,"Lao (incl. Phuan)",81203000,1,1,0,"WCRWWA","","SENIOR PARTNER",1,0,0,"Laos",3,3,0,0,3,0.63,0.37,0,3,0,0.63,0.2609,0.0461,0.63,0.37,0,0,0.37,0.37
167,"Second Pathet Lao",1959,"Laos",812,0,2,"Pathet Lao, Neutralists",1,1,"Lao Sung (excl. Hmong)",81204000,1,0,0,"Zasloff 1973, pp 4-8","http://www.rand.org/content/dam/rand/pubs/reports/2007/R949.pdf","JUNIOR PARTNER",1,0,0,"Laos",3,3,0,0,3,0.63,0.37,0,3,0,0.63,0.2609,0.0461,0.63,0.37,0,0,0.37,0.37
167,"Second Pathet Lao",1959,"Laos",812,0,2,"Pathet Lao, Neutralists",1,1,"Lao Thoeng (excl. Khmou)",81205000,1,0,0,"Zasloff 1973, pp 4-7","http://www.rand.org/content/dam/rand/pubs/reports/2007/R949.pdf","POWERLESS",1,0,0,"Laos",3,3,0,0,3,0.63,0.37,0,3,0,0.63,0.2609,0.0461,0.63,0.37,0,0,0.37,0.37
167,"Second Pathet Lao",1959,"Laos",812,0,2,"Pathet Lao, Neutralists",1,1,"Lao Tai",81209000,1,0,0,"Zasloff 1973, pp 4-6","http://www.rand.org/content/dam/rand/pubs/reports/2007/R949.pdf","POWERLESS",1,0,0,"Laos",3,3,0,0,3,0.63,0.37,0,3,0,0.63,0.2609,0.0461,0.63,0.37,0,0,0.37,0.37
168,"Patriotic Front",1994,"Rwanda",517,0,1,"Rwandan Patriotic Front",1,0,"Tutsis ",51702000,1,1,1,"ACD2EPR","Strnge NAVCO coding of RPF as diverse, both WCRWWA and ACD2EPR describe as Tutsi","DISCRIMINATED",0,0,0,"Rwanda",1,1,0,1,0,0.84,0.15,1,0,0.84,0,0.7056,0.0225,0.848484848484849,0.151515151515152,0.15,0.151515151515152,0,0
169,"People Power",1983,"Philippines",840,1,1,"Justice for Aquino, justice for All (JAJA)",1,1,"Christian lowlanders",84001000,1,1,0,"WCRWWA, Mendoza 2009","No evidence of other groups","DOMINANT",1,0,0,"Philippines",1,1,0,0,0,0.859,0.051,1,0,0.859,0,0.737881,0.002601,0.928648648648649,0.0551351351351351,0,0,0,0
170,"Pinochet-led rebels",1973,"Chile",155,0,1,"Pinochet rebels",0,0,"Whites/mestizos",15501000,1,1,0,"ACD2EPR","","MONOPOLY",1,0,0,"Chile",1,1,0,0,1,0.91,0.075,1,0,0.91,0,0.8281,0.005625,0.923576575662235,0.0761189485435908,0,0,0.075,0.0761189485435908
171,"Poland Anti-Communist I",1968,"Poland",290,1,1,"Anti-Communist movement",1,1,"Poles",29001000,1,1,0,"SGNAD, WCRWWA","","DOMINANT",1,0,0,"Poland",1,5,0,4,1,0.98,0.0194,1,0,0.98,0,0.9604,0.00010316,0.980588353011807,0.0194116469881929,0.0144,0.0144086451871123,0.005,0.00500300180108065
171,"Poland Anti-Communist I",1968,"Poland",290,1,1,"Anti-Communist movement",1,1,"Germans",29002000,1,0,0,"SGNAD, WCRWWA","","DISCRIMINATED",1,0,0,"Poland",1,5,0,4,1,0.98,0.0194,1,0,0.98,0,0.9604,0.00010316,0.980588353011807,0.0194116469881929,0.0144,0.0144086451871123,0.005,0.00500300180108065
171,"Poland Anti-Communist I",1968,"Poland",290,1,1,"Anti-Communist movement",1,1,"Ukranians ",29003000,1,0,0,"SGNAD, WCRWWA","","DISCRIMINATED",1,0,0,"Poland",1,5,0,4,1,0.98,0.0194,1,0,0.98,0,0.9604,0.00010316,0.980588353011807,0.0194116469881929,0.0144,0.0144086451871123,0.005,0.00500300180108065
172,"Poland Anti-Communist II",1970,"Poland",290,1,0,"",1,1,"Poles",29001000,1,1,0,"SGNAD, WCRWWA","","DOMINANT",1,0,0,"Poland",1,5,0,4,1,0.98,0.0194,1,0,0.98,0,0.9604,0.00010316,0.980588353011807,0.0194116469881929,0.0144,0.0144086451871123,0.005,0.00500300180108065
172,"Poland Anti-Communist II",1970,"Poland",290,1,0,"",1,1,"Germans",29002000,1,0,0,"SGNAD, WCRWWA","","DISCRIMINATED",1,0,0,"Poland",1,5,0,4,1,0.98,0.0194,1,0,0.98,0,0.9604,0.00010316,0.980588353011807,0.0194116469881929,0.0144,0.0144086451871123,0.005,0.00500300180108065
172,"Poland Anti-Communist II",1970,"Poland",290,1,0,"",1,1,"Ukranians ",29003000,1,0,0,"SGNAD, WCRWWA","","DISCRIMINATED",1,0,0,"Poland",1,5,0,4,1,0.98,0.0194,1,0,0.98,0,0.9604,0.00010316,0.980588353011807,0.0194116469881929,0.0144,0.0144086451871123,0.005,0.00500300180108065
173,"Poland Worker uprising",1976,"Poland",290,1,1,"Worker's Defence Committee (KOR)",1,1,"Poles",29001000,1,1,0,"SGNAD, WCRWWA","","DOMINANT",1,0,0,"Poland",1,5,0,4,1,0.98,0.0194,1,0,0.98,0,0.9604,0.00010316,0.980588353011807,0.0194116469881929,0.0144,0.0144086451871123,0.005,0.00500300180108065
173,"Poland Worker uprising",1976,"Poland",290,1,1,"Worker's Defence Committee (KOR)",1,1,"Germans",29002000,1,0,0,"SGNAD, WCRWWA","","DISCRIMINATED",1,0,0,"Poland",1,5,0,4,1,0.98,0.0194,1,0,0.98,0,0.9604,0.00010316,0.980588353011807,0.0194116469881929,0.0144,0.0144086451871123,0.005,0.00500300180108065
173,"Poland Worker uprising",1976,"Poland",290,1,1,"Worker's Defence Committee (KOR)",1,1,"Ukranians ",29003000,1,0,0,"SGNAD, WCRWWA","","DISCRIMINATED",1,0,0,"Poland",1,5,0,4,1,0.98,0.0194,1,0,0.98,0,0.9604,0.00010316,0.980588353011807,0.0194116469881929,0.0144,0.0144086451871123,0.005,0.00500300180108065
174,"Popular Democratic Army (UTO)",1992,"Tajikistan",702,0,4,"Democratic Party of Tajikistan (DPT), Rastokhez, Islamic Renaissance Party (IRP), Lali Badakhshan",1,0,"Tajik",70203000,1,1,0,"ACD2EPR","","DOMINANT",1,0,0,"Tajikistan",1,5,0,0,5,0.623,0.358,1,0,0.623,0,0.388129,0.061766,0.63506625891947,0.36493374108053,0,0,0.358,0.36493374108053
