;NVC1.3_LOCATION;NVC1.3_BYEAR;NVC1.3_EYEAR;NVC1.3_CAMPAIGN;NVC1.3_SUCCESS;NVC1.3_LIMITED;NVC1.3_FAILURE;NVC1.3_ONGOING;NVC1.3_VIOL;NVC1.3_NONVIOL;NVC1.3_FSELFDET;NVC1.3_REGCHANGE;NVC1.3_SECESSION;NVC1.3_CAMPAIGN.1;NVC1.3_cow
313;Lebanon;1978;1978;Hundred Day War;1;0;0;0;1;0;1;0;0;1;660
314;Lebanon;1982;2000;Hizballah;1;0;0;0;1;0;1;0;0;1;660
315;Lebanon;2019;2019;October Revolution;1;0;0;0;0;1;0;1;0;1;660
316;Lesotho;1997;2002;Fair Election Campaign;0;1;0;0;0;1;0;1;0;1;570
317;Liberia;1989;1990;anti-Doe rebels;1;0;0;0;1;0;0;1;0;1;450
318;Liberia;1992;1995;NPFL & ULIMO;0;1;0;0;1;0;0;1;0;1;450
319;Liberia;1996;1996;national patriotic forces;0;0;1;0;1;0;0;1;0;1;450
320;Liberia;1999;2003;LURD;1;0;0;0;1;0;0;1;0;1;450
321;Libya;1920;1931;Italo-Libyan War (Sanusi);0;0;1;0;1;0;1;0;0;1;620
322;Libya;2011;2011;Libyan Civil War;1;0;0;0;1;0;0;1;0;1;620
323;Libya;2014;2019;Islamist militia factions (Second Libyan Civil War);0;0;1;1;1;0;0;1;0;1;620
324;Lithuania;1988;1991;pro-democracy movement/Sajudis;1;0;0;0;0;1;0;1;0;1;368
325;Lithuania;1945;1956;Mikso Broliai (Forest Brothers, Lithuanian Anti-Occupation Campaign);0;0;1;0;1;0;1;0;0;1;368
326;North Macedonia;2001;2001;NLA Insurgency;0;0;1;0;1;0;0;0;1;1;343
327;North Macedonia;2015;2017;Colorful Revolution;1;0;0;0;0;1;0;1;0;1;343
328;Madagascar;1972;1972;Anti-Tsiranana;1;0;0;0;0;1;0;1;0;1;580
329;Madagascar;1991;1993;Active Voices;1;0;0;0;0;1;0;1;0;1;580
330;Madagascar;1947;1948;Franco-Madagascan;0;0;1;0;1;0;1;0;0;1;580
331;Madagascar;2002;2002;pro-democracy movement;1;0;0;0;0;1;0;1;0;1;580
332;Madagascar;2009;2014;anti-Rajoelina movement;0;1;0;0;0;1;0;1;0;1;580
333;Madagascar;2009;2009;anti-Ravalomanana movement;1;0;0;0;0;1;0;1;0;1;580
334;Malawi;1992;1994;anti-Banda campaign;1;0;0;0;0;1;0;1;0;1;553
335;Malawi;1958;1959;Nyasaland African Congress;0;1;0;0;0;1;1;0;0;1;553
336;Malawi;2011;2012;Anti-Mutharika;1;0;0;0;0;1;0;1;0;1;553
337;Malaysia;1948;1960;Malayan Emergency;0;1;0;0;1;0;1;0;0;1;820
338;Malaysia;1998;1999;Reformasi;0;0;1;0;0;1;0;1;0;1;820
339;Maldives;2003;2008;Anti-Gayoom Campaign;1;0;0;0;0;1;0;1;0;1;781
340;Maldives;2012;2012;Anti-Nasheed Campaign;1;0;0;0;0;1;0;1;0;1;781
341;Maldives;2012;2013;Nasheed Supporters;0;0;1;0;0;1;0;1;0;1;781
342;Maldives;2015;2019;Anti-Yameen;1;0;0;0;0;1;0;1;0;1;781
343;Mali;1989;1995;Tauregs;0;0;1;0;1;0;0;1;0;1;432
344;Mali;1990;1991;Mali anti-military;1;0;0;0;0;1;0;1;0;1;432
345;Mali;2012;2015;Northern Mali conflict;0;1;0;0;1;0;0;0;1;1;432
346;Mauritania;2011;2014;Anti-Aziz Protests;0;0;1;0;0;1;0;1;0;1;435
347;Mexico;1910;1920;Liberals and Radicals rebellion;1;0;0;0;1;0;0;1;0;1;70
348;Mexico;1923;1924;Huerta led rebels;0;0;1;0;1;0;0;1;0;1;70
349;Mexico;1926;1929;Cristeros rebellion;0;0;1;0;1;0;0;1;0;1;70
350;Mexico;1929;1929;Escoban-led rebellion;0;0;1;0;1;0;0;1;0;1;70
351;Mexico;1987;2000;anti-PRI campaign;1;0;0;0;0;1;0;1;0;1;70
352;Mexico;2006;2006;anti-Calderon campaign;0;0;1;0;0;1;0;1;0;1;70
353;Mexico;2014;2015;2014 Mexican anti-Corruption Campaign;0;0;1;0;0;1;0;1;0;1;70
354;Moldova;1992;1992;Dniestr;0;1;0;0;1;0;0;0;1;1;359
355;Moldova;2009;2009;"Moldovan ""Grapevine"" Revolution";1;0;0;0;0;1;0;1;0;1;359
356;Moldova;2015;2016;Moldovan Anti-Government Protest;0;1;0;0;0;1;0;1;0;1;359
357;Mongolia;1989;1990;Mongolian anti-communist;1;0;0;0;0;1;0;1;0;1;712
358;Montenegro;2015;2015;Montenegrin Opposition Protest;0;0;1;0;0;1;0;1;0;1;341
359;Montenegro;2019;2019;97000 Resist campaign;0;0;1;0;0;1;0;1;0;1;341
360;Morocco;1907;1908;Fez Caids Rebellion;0;0;1;0;1;0;1;0;0;1;600
361;Morocco;1911;1917;Wars of Independence;0;0;1;0;1;0;1;0;0;1;600
362;Morocco;1921;1926;Rifian Rebellion;0;0;1;0;1;0;1;0;0;1;600
363;Morocco;1953;1956;Moroccan Independence War;1;0;0;0;1;0;1;0;0;1;600
364;Morocco;1957;1958;Ifni war;0;0;1;0;1;0;1;0;0;1;600
365;Morocco;1999;2005;Western Sahara Independence Movement;0;0;1;0;0;1;1;0;0;1;600
366;Mozambique;1979;1992;Renamo;0;0;1;0;1;0;0;1;0;1;541
367;Mozambique;1962;1975;Front for the Liberation of Mozambique;1;0;0;0;1;0;1;0;0;1;541
368;Myanmar (Burma);1956;2019;Naga Insurgency;0;0;1;0;1;0;0;0;1;1;775
369;Myanmar (Burma);2015;2019;Western Southeast Asia Front;0;0;1;1;1;0;0;0;1;1;775
370;Myanmar (Burma);2007;2007;Saffron Revolution;0;0;1;0;0;1;0;1;0;1;775
371;Namibia;1976;1988;SWAPO;1;0;0;0;1;0;1;0;0;1;565
372;Namibia;1904;1906;South West African Revolt (Herero Revolt);0;0;1;0;1;0;1;0;0;1;565
374;Nepal;2007;2007;Mahadeshi Autonomy Campaign;0;1;0;0;0;1;0;0;1;1;790
375;Nepal;1990;1990;The Stir;1;0;0;0;0;1;0;1;0;1;790
376;Nepal;2001;2006;CPN-M/UPF;0;1;0;0;1;0;0;1;0;1;790
377;Nepal;2002;2006;Nepalese anti-government;1;0;0;0;0;1;0;1;0;1;790
378;Nepal;2010;2010;Maoist Anti-Govt Protests;1;0;0;0;0;1;0;1;0;1;790
379;Nepal;2012;2012;Anti-Maoist Campaign;1;0;0;0;0;1;0;1;0;1;790
380;Nicaragua;1925;1933;Nicaraguan Guerillas;1;0;0;0;1;0;0;1;0;1;93
381;Nicaragua;1944;1944;Independent Liberal Party;0;0;1;0;0;1;0;1;0;1;93
382;Nicaragua;1978;1979;FSLN;1;0;0;0;1;0;0;1;0;1;93
383;Nicaragua;1978;1978;Anti-Somoza Strike;0;0;1;0;0;1;0;1;0;1;93
384;Nicaragua;1981;1990;Contras;1;0;0;0;1;0;0;1;0;1;93
385;Nicaragua;2018;2019;Anti-Ortega Protests;0;0;1;1;0;1;0;1;0;1;93
386;Niger;1990;1992;Niger anti-military;1;0;0;0;0;1;0;1;0;1;436
387;Nigeria;1980;1984;Muslim fundamentalists;0;0;1;0;1;0;0;1;0;1;475
388;Nigeria;1993;1999;Nigeria anti-military;1;0;0;0;0;1;0;1;0;1;475
389;Nigeria;1945;1950;Independence Movement;0;1;0;0;0;1;1;0;0;1;475
390;Nigeria;1967;1970;Biafrans;0;0;1;0;1;0;0;0;1;1;475
391;Nigeria;1990;1995;Ogoni movement;0;0;1;0;0;1;0;0;1;1;475
392;Nigeria;2011;2019;Boko Haram;0;0;1;1;1;0;0;1;0;1;475
393;Ireland;1968;1998;IRA/Irish nationalists;0;1;0;0;1;0;0;0;1;1;205
394;Norway;1940;1945;Norwegian resistance;0;1;0;0;0;1;1;0;0;1;385
395;Oman;1962;1976;Popular Front for the Liberation of Oman and the Arab Gulf (PFLOAG);0;1;0;0;1;0;0;1;0;1;698
396;Turkey;1903;1903;VMRO Rebels (Macedonians) in Ilinden uprising;0;0;1;0;1;0;0;0;1;1;640
397;Pakistan;2004;2019;Fourth Balochistan Separatist Movement;0;0;1;1;1;0;0;0;1;1;770
398;Pakistan;1968;1969;anti-Khan campaign;0;1;0;0;0;1;0;1;0;1;770
399;Pakistan;1977;1977;Anti-Bhutto;1;0;0;0;0;1;0;1;0;1;770
400;Pakistan;1983;1983;pro-dem movement;0;0;1;0;0;1;0;1;0;1;770
401;Pakistan;1986;1986;Anti-Zia al-Haq;0;0;1;0;0;1;0;1;0;1;770
402;Pakistan;1994;1999;Mohajir;0;0;1;0;1;0;0;1;0;1;770
403;Pakistan;1962;1969;Second Balochistan Separatist Movement;0;0;1;0;1;0;0;0;1;1;770
404;Pakistan;1971;1971;Bengalis;1;0;0;0;1;0;0;0;1;1;770
405;Pakistan;1973;1977;Third Balochistan Separatist Movement;0;0;1;0;1;0;0;0;1;1;770
406;Pakistan;2007;2008;Anti-Musharraf Campaign (Lawyer's Movement);1;0;0;0;0;1;0;1;0;1;770
407;Pakistan;2007;2019;Islamist insurgency;0;0;1;1;1;0;0;1;0;1;770
408;Pakistan;2009;2009;Anti-Zardari Campaign;0;0;1;0;0;1;0;1;0;1;770
409;Pakistan;2014;2014;2014 Anti-Sharif Campaign;0;0;1;0;0;1;0;1;0;1;770
410;Palestinian Territories;1920;1936;Anti-British Mandate;0;0;1;0;0;1;1;0;0;1;666
411;Palestinian Territories;1936;1939;Palestinian Arab Revolt;0;1;0;0;1;0;0;0;1;1;666
412;Palestinian Territories;1987;1990;First Intifada;0;1;0;0;0;1;1;0;0;1;666
413;Palestinian Territories;1945;1948;Jewish resistance;1;0;0;0;1;0;1;0;0;1;666
414;Palestinian Territories;1973;2019;Palestinian Liberation;0;0;1;1;1;0;0;0;1;1;666
415;Panama;1987;1989;anti-Noriega campaign;0;0;1;0;0;1;0;1;0;1;95
416;Papua New Guinea;1988;1998;Bougainville Revolt;0;0;1;0;1;0;0;1;0;1;910
417;Papua New Guinea;2016;2016;Anti-prime minister protest;0;0;1;0;0;1;0;1;0;1;910
418;Paraguay;1947;1947;leftist rebellion;0;0;1;0;1;0;0;1;0;1;150
419;Paraguay;1999;1999;Anti-Cubas Protests;1;0;0;0;0;1;0;1;0;1;150
420;Peru;1932;1932;Aprista rebels;0;0;1;0;1;0;0;1;0;1;135
421;Peru;1980;2012;Senderista Insurgency (Sendero Luminoso) The Shinning Path;0;0;1;0;1;0;0;1;0;1;135
422;Peru;2000;2000;anti-Fujimori campaign;1;0;0;0;0;1;0;1;0;1;135
423;Philippines;1946;1954;Hukbalahap Rebellion;0;0;1;0;1;0;0;1;0;1;840
424;Philippines;1968;1987;Moro National Liberation Front;0;0;1;0;1;0;0;1;0;1;840
425;Philippines;1972;1992;New People's Army;0;0;1;0;1;0;0;1;0;1;840
426;Philippines;1983;1986;People Power;1;0;0;0;0;1;0;1;0;1;840
427;Philippines;2001;2001;Second People Power Movement;1;0;0;0;0;1;0;1;0;1;840
428;Philippines;2001;2001;People Power III;0;0;1;0;0;1;0;1;0;1;840
429;Philippines;1899;1902;Filipino nationalists;0;0;1;0;1;0;1;0;0;1;840
430;Philippines;1941;1945;Philippines Malayan insurgency;0;0;1;0;1;0;1;0;0;1;840
431;Poland;1956;1956;Poznan protests;0;1;0;0;0;1;0;1;0;1;290
432;Poland;1968;1968;Poland Anti-Communist I;0;0;1;0;0;1;0;1;0;1;290
433;Poland;1970;1970;Poland Anti-Communist II;0;1;0;0;0;1;0;1;0;1;290
434;Poland;1976;1976;Warsaw Worker's Uprising;0;1;0;0;0;1;0;1;0;1;290
435;Poland;1980;1989;Solidarity;1;0;0;0;0;1;0;1;0;1;290
436;Poland;1944;1944;Polish resistance;0;0;1;0;1;0;1;0;0;1;290
437;Poland;2016;2019;Anti-right wing government;0;0;1;1;0;1;0;1;0;1;290
438;Portugal;1973;1974;Carnation Revolution;1;0;0;0;0;1;0;1;0;1;235
439;Congo - Brazzaville;1993;1997;Anti-Lissouba Campaign (Cocoyes, Ninjas, Cobras);1;0;0;0;1;0;0;1;0;1;484
440;Yemen;1994;1994;Democratic Republic of Yemen Secessionist Movement;0;0;1;0;1;0;0;0;1;1;679
441;Romania;1987;1989;anti-Ceaucescu movement;0;0;1;0;0;1;0;1;0;1;360
442;Romania;1989;1989;anti-Ceaucescu rebels;1;0;0;0;1;0;0;1;0;1;360
443;Romania;1990;1992;1990 Anti-Government Protests;0;1;0;0;0;1;0;1;0;1;360
444;Romania;1990;1993;The Golaniad;0;0;1;0;0;1;0;1;0;1;360
445;Romania;1907;1907;Peasant Rebellion;0;0;1;0;1;0;0;0;0;1;360
446;Romania;2012;2012;2012 Anti-Government Protests;1;0;0;0;0;1;0;1;0;1;360
447;Romania;2017;2019;Romania anti-government protest;0;0;1;1;0;1;0;1;0;1;360
448;Romania;2015;2015;Colectiv Revolution;1;0;0;0;0;1;0;1;0;1;360
449;Russia;1905;1906;Peasant/Worker Rebellion;0;1;0;0;1;0;0;1;0;1;365
450;Russia;1916;1917;Urkun Uprising;1;0;0;0;1;0;0;1;0;1;365
451;Russia;1917;1917;Russian Revolution;1;0;0;0;1;0;0;1;0;1;365
452;Russia;1917;1921;anti-Bolsheviks;0;0;1;0;1;0;0;1;0;1;365
453;Russia;2007;2019;Caucasus Emirate;0;0;1;1;1;0;0;0;1;1;365
454;Russia;1993;1993;Anti-Yeltsin;0;0;1;0;1;0;0;1;0;1;365
455;Russia;1990;1991;pro-dem movement;1;0;0;0;0;1;0;0;0;1;365
456;Russia;1994;2009;Chechen separatists;0;0;1;0;1;0;0;0;1;1;365
457;Russia;2007;2008;Dissenter's March;0;0;1;0;0;1;0;1;0;1;365
458;Russia;2010;2019;Snow Revolution;0;0;1;1;0;1;0;1;0;1;365
459;Rwanda;1963;1964;Watusi;0;0;1;0;1;0;0;1;0;1;517
460;Rwanda;1990;1993;Tutsi rebels;1;0;0;0;1;0;0;1;0;1;517
461;Rwanda;1994;1994;Patriotic Front;1;0;0;0;1;0;0;1;0;1;517
462;Rwanda;1996;2001;Hutu Nationalist Insurgency;0;0;1;0;1;0;0;1;0;1;517
463;Rwanda;1956;1962;Rwandan independence;1;0;0;0;1;0;1;0;0;1;517
464;Saudi Arabia;1929;1930;Ikhwan rebellion;0;0;1;0;1;0;0;1;0;1;670
465;Senegal;2000;2000;anti-Diouf campaign;1;0;0;0;0;1;0;1;0;1;433
466;Senegal;1982;1983;MFDC secessionist campaign;0;0;1;0;0;1;0;0;1;1;433
467;Senegal;1982;2014;Casamance Conflict;0;0;1;0;1;0;0;0;1;1;433
468;Senegal;2012;2012;Anti-Wade June 23 Movement;1;0;0;0;0;1;0;1;0;1;433
469;Serbia;1996;2000;anti-Milosevic;1;0;0;0;0;1;0;1;0;1;345
470;Serbia;1998;1999;KLA;0;1;0;0;1;0;0;0;1;1;345
471;Serbia;2017;2019;Anti-Vucic;0;0;1;1;0;1;0;1;0;1;345
472;Sierra Leone;1991;1996;RUF;0;1;0;0;1;0;0;1;0;1;451
473;Slovakia;1989;1992;Public Against Violence;1;0;0;0;0;1;0;1;0;1;317
474;Slovenia;1989;1990;Slovenia anti-communist;1;0;0;0;0;1;0;1;0;1;349
475;Slovenia;1990;1991;Slovenian independence;1;0;0;0;0;1;0;0;1;1;349
476;Somalia;1982;1991;clan factions;;;;;;;;;;;
477;Somalia;1991;2000;Somali Civil War;0;0;1;0;1;0;0;1;0;1;520
478;Somalia;2006;2019;Islamist insurgency;0;0;1;1;1;0;0;1;0;1;520
479;Somalia;1899;1904;Dervish resistance;0;0;1;0;1;0;1;0;0;1;520
480;Somalia;1993;1994;Somalia militia insurgencies;1;0;0;0;1;0;1;0;0;1;520
481;South Africa;1899;1902;Boer separatists;0;0;1;0;1;0;1;0;0;1;560
482;South Africa;1952;1961;First Defiance Campaign;0;0;1;0;0;1;0;0;0;1;560
483;South Africa;1984;1994;South African Second Defiance Campaign;1;0;0;0;0;1;0;0;0;1;560
484;South Africa;2017;2018;Anti-Zuma;1;0;0;0;0;1;0;1;0;1;560
485;South Korea;1960;1960;Student Revolution;1;0;0;0;0;1;0;1;0;1;732
486;South Korea;1979;1980;South Korean anti-junta;0;0;1;0;0;1;0;1;0;1;732
487;South Korea;1982;1987;Student抯 Anti-Chun Protest;0;0;1;0;0;1;0;1;0;1;732
488;South Korea;1986;1987;South Korean anti-military;1;0;0;0;0;1;0;1;0;1;732
489;South Korea;1988;1992;Anti-Roh Tae Woo;0;0;1;0;0;1;0;1;0;1;732
490;South Korea;1995;1995;Student's Anti-Kim Protest;0;0;1;0;0;1;0;1;0;1;732
491;South Korea;2015;2017;Anti-Park protests;1;0;0;0;0;1;0;1;0;1;732
492;South Sudan;2011;2019;SPLM/A;0;0;1;1;1;0;0;1;0;1;626
493;Republic of Vietnam;1963;1963;1963 Buddhist Protests;1;0;0;0;0;1;0;1;0;1;817
494;Republic of Vietnam;1964;1964;1964 Anti-Khanh Protests;1;0;0;0;0;1;0;1;0;1;817
495;Republic of Vietnam;1964;1965;Anti-Huong;1;0;0;0;0;1;0;1;0;1;817
496;Republic of Vietnam;1966;1967;1966-67 Anti-Ky Protests;0;0;1;0;0;1;0;1;0;1;817
497;Republic of Vietnam;1966;1966;Anti-Military Govt;0;0;1;0;0;1;0;1;0;1;817
498;Republic of Vietnam;1974;1975;1974-75 Anti-Thieu Protests;0;0;1;0;0;1;0;1;0;1;817
499;Spain;1934;1934;Asturian miners;0;0;1;0;1;0;0;1;0;1;230
500;Spain;1936;1939;Fascists;1;0;0;0;1;0;0;1;0;1;230
501;Spain;1968;2011;ETA;0;0;1;0;1;0;0;0;1;1;230
502;Spain;2016;2019;Catalan separatist protest;0;0;1;1;0;1;0;0;1;1;230
503;Sri Lanka;1971;1971;JVP;0;0;1;0;1;0;0;1;0;1;780
504;Sri Lanka;1987;1990;JVP II;0;0;1;0;1;0;0;1;0;1;780
505;Sri Lanka;2001;2001;Anti-Kumaratunga;0;0;1;0;0;1;0;1;0;1;780
506;Sri Lanka;1983;2009;LTTE;0;0;1;0;1;0;0;0;1;1;780
507;Sudan;2003;2012;JEM/SLA;0;0;1;0;1;0;0;0;0;1;625
508;Sudan;1964;1964;October Revolution;1;0;0;0;0;1;0;1;0;1;625
509;Sudan;1983;2005;SPLA-Garang faction;0;1;0;0;1;0;0;1;0;1;625
510;Sudan;1985;1985;anti-Jaafar;1;0;0;0;0;1;0;1;0;1;625
511;Sudan;2011;2013;Anti-al-Bashir Government;0;0;1;0;0;1;0;1;0;1;625
512;Sudan;1963;1972;Anya Nya;0;1;0;0;1;0;0;0;1;1;625
513;Sudan;2011;2018;South Kordofan and Blue Nile Conflict;0;0;1;1;1;0;0;1;0;1;625
514;Sudan;2018;2019;Sudan Uprising;1;0;0;0;0;1;0;1;0;1;625
515;Suriname;1983;1984;Anti-Bouterse;0;0;1;0;0;1;0;1;0;1;115
516;Suriname;1999;2000;Anti-Wijdenbosch;1;0;0;0;0;1;0;1;0;1;115
517;Eswatini;2011;2011;Swaziland Anti-Monarchy Protests;0;0;1;0;0;1;0;1;0;1;572
518;Syria;1980;1982;Muslim Brotherhood;0;0;1;0;1;0;0;1;0;1;652
519;Syria;2011;2011;Syrian Uprising;0;0;1;0;0;1;0;1;0;1;652
520;Syria;2011;2019;Syrian Civil War;0;0;1;1;1;0;0;1;0;1;652
521;Syria;1920;1920;Franco-Syrian War;0;0;1;0;1;0;1;0;0;1;652
522;Syria;2013;2019;Islamic State;0;0;1;1;1;0;0;1;0;1;652
523;Taiwan;1979;1985;Taiwan pro-democracy;1;0;0;0;0;1;0;1;0;1;713
524;Tajikistan;1991;1991;1991 Opposition Protests;0;1;0;0;0;1;0;1;0;1;702
525;Tajikistan;1992;1997;Popular Democratic Army (UTO);0;1;0;0;1;0;0;1;0;1;702
526;Tanzania;1992;1995;Tanzania pro-democracy;0;1;0;0;0;1;0;1;0;1;510
527;Tanzania;1905;1906;Maji Maji Revolt;0;0;1;0;1;0;1;0;0;1;510
528;Thailand;2004;2019;2004 Southern Thai Insurrection;0;0;1;1;1;0;1;0;0;1;800
529;Thailand;1965;1982;communist rebels;0;0;1;0;1;0;0;1;0;1;800
530;Thailand;1973;1973;student protests;1;0;0;0;0;1;0;1;0;1;800
531;Thailand;1992;1992;pro-dem movement;1;0;0;0;0;1;0;1;0;1;800
532;Thailand;2005;2006;anti-Thaksin campaign;1;0;0;0;0;1;0;1;0;1;800
533;Thailand;2007;2007;Anti-Military Government Campaign;0;1;0;0;0;1;0;1;0;1;800
534;Thailand;2008;2008;People's Alliance for Democracy Campaign;1;0;0;0;0;1;0;1;0;1;800
535;Thailand;2008;2010;Red Shirt Campaign;0;0;1;0;0;1;0;1;0;1;800
536;Thailand;2013;2014;Civil Movement for Democracy;1;0;0;0;0;1;0;1;0;1;800
537;Thailand;2014;2019;New Democracy Movement;0;0;1;1;0;1;0;1;0;1;800
538;Tibet;1912;1913;First War of Independence;0;1;0;0;1;0;1;0;0;1;710
539;Tibet;1987;1989;Tibetan independence movement;0;0;1;0;0;1;1;0;0;1;710
540;Togo;1991;1991;Anti-Eyadema;0;1;0;0;0;1;0;1;0;1;461
541;Togo;2005;2005;Togo anti-Gnassingbe/Coup Crisis;1;0;0;0;0;1;0;1;0;1;461
542;Togo;2012;2013;Let's Save Togo (Anti-Gnassingbe);0;0;1;0;0;1;0;1;0;1;461
543;Togo;2017;2019;2017 Anti-Gnassingbe;0;0;1;1;0;1;0;1;0;1;461
544;Tonga;2005;2006;Pro-Democracy Protests;0;1;0;0;0;1;0;1;0;1;955
545;Tunisia;2010;2011;Anti-Ben Ali Campaign (Jasmin Revolution);1;0;0;0;0;1;0;1;0;1;616
546;Tunisia;2013;2013;Protests Against the Crisis Talks;1;0;0;0;0;1;0;1;0;1;616
547;Tunisia;2013;2014;Anti-Islamist Government Protests;1;0;0;0;0;1;0;1;0;1;616
548;Tunisia;1952;1954;Tunisian independence movement;1;0;0;0;1;0;1;0;0;1;616
549;Turkey;1924;1927;Sheikh Said insurgency;0;0;1;0;1;0;0;1;0;1;640
550;Turkey;1960;1960;Students Lead Protest for Regime Change;1;0;0;0;0;1;0;1;0;1;640
551;Turkey;1970;1971;Anti-government protests;1;0;0;0;0;1;0;1;0;1;640
552;Turkey;2001;2001;Economic Crisis Sparks Calls for Resignation;0;0;1;0;0;1;0;1;0;1;640
553;Turkey;2015;2019;Renewed Kurdistan Worker's Party (PKK);0;0;1;1;1;0;0;0;1;1;640
554;Turkey;2013;2015;Anti-Erdogan;0;1;0;0;0;1;0;1;0;1;640
555;Turkey;1916;1918;Arab Revolt;0;1;0;0;1;0;0;0;1;1;640
556;Turkey;1920;1922;Kockiri rebellion Kurdistan (KTC);0;0;1;0;1;0;0;0;1;1;640
557;Turkey;1978;1999;Kurdish rebellion;0;0;1;0;1;0;0;0;1;1;640
558;Turkey;2017;2019;Anti-Erdogan II;0;0;1;1;0;1;0;1;0;1;640
559;Uganda;1980;1986;National Resistance Army;1;0;0;0;1;0;0;1;0;1;500
560;Uganda;1986;2017;LRA;0;0;1;0;1;0;0;1;0;1;500
561;Uganda;1987;1992;UPA;0;0;1;0;1;0;0;1;0;1;500
562;Uganda;1996;2019;ADF Insurgency;0;0;1;1;1;0;0;1;0;1;500
563;Uganda;2011;2013;Anti-Museveni;0;0;1;0;0;1;0;1;0;1;500
564;Uganda;1966;1966;Buganda Tribe;0;0;1;0;1;0;0;0;1;1;500
565;Ukraine;1989;1991;Donetsk Miner's Strike;0;1;0;0;0;1;0;1;0;1;369
566;Ukraine;1990;1990;Students Union Protests;1;0;0;0;0;1;0;1;0;1;369
567;Ukraine;2000;2005;Orange Revolution;0;1;0;0;0;1;0;1;0;1;369
568;Ukraine;2014;2014;"Ultras ""United Ukraine"" Campaign";0;0;1;0;0;1;1;0;0;1;369
569;Ukraine;2014;2019;Rebels in East Ukraine (Ukrainian Civil War);0;0;1;1;1;0;0;0;1;1;369
570;Ukraine;2013;2014;Euromaidan;1;0;0;0;0;1;0;1;0;1;369
571;United States;2017;2019;anti-Trump resistance;0;0;1;1;0;1;0;1;0;1;2
572;Uruguay;1904;1904;Blancos Rebellion;0;0;1;0;1;0;0;1;0;1;165
573;Uruguay;1963;1972;Tupamaros;0;0;1;0;1;0;0;1;0;1;165
574;Uruguay;1984;1985;Uruguay anti-military campaign;1;0;0;0;0;1;0;1;0;1;165
575;Russia;1946;1951;Ukrainian rebellion;0;0;1;0;1;0;0;1;0;1;365
576;Russia;1956;1956;Georgian anti-Khruschev protests;0;0;1;0;0;1;0;1;0;1;365
577;Russia;1920;1921;Peasants in Ta (Tambov Rebellion);0;0;1;0;1;0;0;0;1;1;365
578;Russia;1934;1934;Central Asian rebels;0;0;1;0;1;0;0;0;0;1;365
579;Russia;1941;1945;Belarus resistance;0;0;1;0;1;0;1;0;0;1;365
580;Russia;1989;1991;Georgian anti-Soviet movement;0;1;0;0;0;1;0;0;1;1;365
581;Venezuela;1901;1903;La Revolucion Libertador;0;0;1;0;1;0;0;1;0;1;101
582;Venezuela;1958;1958;anti-Jimenez campaign;1;0;0;0;0;1;0;1;0;1;101
583;Venezuela;1962;1965;Armed Forces for National Liberation (FALN);0;0;1;0;1;0;0;1;0;1;101
584;Venezuela;1992;1992;Anti-Perez;0;0;1;0;0;1;0;1;0;1;101
585;Venezuela;1992;1992;Military Forces of Hugo Chavez;0;0;1;0;1;0;0;1;0;1;101
586;Venezuela;2002;2004;2002 Anti-Chavez Campaign;0;0;1;0;0;1;0;1;0;1;101
587;Venezuela;2002;2002;anti-coup;1;0;0;0;0;1;0;1;0;1;101
588;Venezuela;2014;2019;anti-Maduro;0;0;1;1;0;1;0;1;0;1;101
589;Vietnam;1960;1975;North Vietnam (National Liberation Front);1;0;0;0;1;0;0;1;0;1;816
590;Vietnam;1945;1954;Indochina revolt;1;0;0;0;1;0;1;0;0;1;816
591;Vietnam;1961;1975;North Vietnam (National Liberation Front) anti-occupation;1;0;0;0;1;0;1;0;0;1;816
592;Papua New Guinea;1911;1943;Anti-Dutch colonial struggle;0;0;1;0;0;1;1;0;0;1;910
593;Papua New Guinea;1965;1978;West Papua rebels;0;0;1;0;1;0;1;0;0;1;910
594;Papua New Guinea;1979;2019;West Papua self-determination struggle;0;0;1;1;0;1;1;0;0;1;910
595;Western Sahara;2010;2019;Renewed Western Sahara Independence Protests;0;0;1;1;0;1;1;0;0;1;600
596;Western Sahara;1975;1989;Western Sahara Freedom Movement (POLISARIO);0;1;0;0;1;0;1;0;0;1;600
597;Yemen;1955;1957;Yemeni insurgency;0;0;1;0;1;0;0;1;0;1;679
598;Yemen;2007;2014;South Yemen Secessionist Movement;0;1;0;0;0;1;0;0;1;1;679
599;Yemen;1979;1982;NDF;0;0;1;0;1;0;0;1;0;1;679
600;Yemen;2004;2015;Al-Houthi Rebellion;1;0;0;0;1;0;0;1;0;1;679
601;Yemen;2009;2019;Al Qaeda in the Arabian Peninsula;0;0;1;1;1;0;0;1;0;1;679
602;Yemen;2011;2012;Anti Ali Adduallah Saleh Campaign;1;0;0;0;0;1;0;1;0;1;679
603;Yemen;2015;2019;Anti-Houthi Movement;0;0;1;1;0;1;0;1;0;1;679
604;Yemen;1963;1967;FLOSY, NLF in Aden;1;0;0;0;1;0;1;0;0;1;679
605;Yemen Arab Republic;1948;1948;Yahya Family revolt;1;0;0;0;1;0;0;1;0;1;678
606;Yemen Arab Republic;1962;1969;Royalists;0;1;0;0;1;0;0;1;0;1;678
607;Yemen People's Republic;1986;1986;leftists;0;1;0;0;1;0;0;1;0;1;680
608;Yugoslavia;1968;1968;student protests;0;1;0;0;0;1;0;1;0;1;345
