;NVC1.3_LOCATION;NVC1.3_BYEAR;NVC1.3_EYEAR;NVC1.3_CAMPAIGN;NVC1.3_SUCCESS;NVC1.3_LIMITED;NVC1.3_FAILURE;NVC1.3_ONGOING;NVC1.3_VIOL;NVC1.3_NONVIOL;NVC1.3_FSELFDET;NVC1.3_REGCHANGE;NVC1.3_SECESSION;NVC1.3_CAMPAIGN.1;NVC1.3_cow
109;China;1989;1989;Tiananmen Square;0;0;1;0;0;1;0;1;0;1;710
110;China;2012;2012;Kirti Monastery Protests;0;0;1;0;0;1;0;0;1;1;710
111;China;2014;2019;Hong Kong pro-democracy (Umbrella Movement);0;0;1;1;0;1;0;1;0;1;710
112;Colombia;1948;1958;La Violencia/Liberals of 1949;0;0;1;0;1;0;0;1;0;1;100
113;Colombia;1957;1957;anti-Rojas;1;0;0;0;0;1;0;1;0;1;100
114;Colombia;1964;2016;Revolutionary Armed Forces of Colombia, National Liberation Army, M-19;0;0;1;0;1;0;0;1;0;1;100
115;Comoros;1997;2000;Anjouan Separatist Movement;0;1;0;0;1;0;0;0;1;1;581
116;Congo - Brazzaville;1997;1999;Denis Sassou Nguesso campaign;1;0;0;0;1;0;0;1;0;1;484
117;Congo - Brazzaville;1997;2003;Anti-Sassou-Nguessou Campaign (Cocoyes, Ninjas, Ntsiloulous);0;0;1;0;1;0;0;1;0;1;484
118;Costa Rica;1948;1948;National Union Party;1;0;0;0;1;0;0;1;0;1;94
119;Croatia;1991;1995;Serbian Republic of Krajina (secession campaign);0;0;1;0;1;0;0;0;1;1;344
120;Croatia;1999;2000;Croatian pro-democracy;1;0;0;0;0;1;0;1;0;1;344
121;Cuba;1958;1959;Cuban Revolution;1;0;0;0;1;0;0;1;0;1;40
122;Cyprus;1954;1959;Ethniki Organosis Kyprios Agoniston;1;0;0;0;1;0;1;0;0;1;352
123;Czechoslovakia;1968;1968;Czech uprising;0;0;1;0;0;1;1;0;0;1;315
124;Czechoslovakia;1989;1989;Velvet Revolution;1;0;0;0;0;1;0;1;0;1;315
125;Congo - Kinshasa;1964;1965;CNL;0;0;1;0;1;0;0;1;0;1;490
126;Congo - Kinshasa;1959;1960;Congolese Independence Movement;0;1;0;0;0;1;1;0;0;1;490
127;Congo - Kinshasa;1996;1997;Kabila-ADFL;1;0;0;0;1;0;0;1;0;1;490
