"","gwid","statename","from","to","group","groupid","gwgroupid","umbrella","size","status","reg_aut"
"1",2,"United States of America",1946,1965,"Whites",1000,201000,NA,0.691,"MONOPOLY",""
"2",2,"United States of America",1946,1965,"African Americans",3000,203000,NA,0.124,"DISCRIMINATED","false"
"3",2,"United States of America",1946,1965,"American Indians",5000,205000,NA,0.0078,"POWERLESS","true"
"4",2,"United States of America",1966,2008,"Whites",1000,201000,NA,0.691,"DOMINANT",""
"5",2,"United States of America",1966,2008,"Latinos",2000,202000,NA,0.125,"POWERLESS","false"
"6",2,"United States of America",1966,2008,"African Americans",3000,203000,NA,0.124,"POWERLESS","false"
"7",2,"United States of America",1966,2008,"Asian Americans",4000,204000,NA,0.036,"POWERLESS","false"
"8",2,"United States of America",1966,2008,"American Indians",5000,205000,NA,0.0078,"POWERLESS","true"
"9",2,"United States of America",1966,2008,"Arab Americans",6000,206000,NA,0.0042,"POWERLESS","false"
"10",2,"United States of America",2009,2014,"Whites",1000,201000,NA,0.66,"SENIOR PARTNER","false"
"11",2,"United States of America",2009,2014,"Latinos",2000,202000,NA,0.15,"JUNIOR PARTNER","false"
"12",2,"United States of America",2009,2014,"African Americans",3000,203000,NA,0.124,"JUNIOR PARTNER","false"
"13",2,"United States of America",2009,2014,"Asian Americans",4000,204000,NA,0.044,"JUNIOR PARTNER","false"
"14",2,"United States of America",2009,2014,"American Indians",5000,205000,NA,0.0078,"POWERLESS","true"
"15",2,"United States of America",2009,2014,"Arab Americans",6000,206000,NA,0.005,"POWERLESS","false"
"16",2,"United States of America",2015,2017,"Whites",1000,201000,NA,0.66,"SENIOR PARTNER","false"
"17",2,"United States of America",2015,2017,"Latinos",2000,202000,NA,0.15,"JUNIOR PARTNER","false"
"18",2,"United States of America",2015,2017,"African Americans",3000,203000,NA,0.124,"JUNIOR PARTNER","false"
"19",2,"United States of America",2015,2017,"Asian Americans",4000,204000,NA,0.044,"POWERLESS","false"
"20",2,"United States of America",2015,2017,"American Indians",5000,205000,NA,0.0078,"POWERLESS","true"
"21",2,"United States of America",2015,2017,"Arab Americans",6000,206000,NA,0.005,"POWERLESS","false"
"22",2,"United States of America",2018,2021,"Whites",1000,201000,NA,0.6,"DOMINANT","false"
"23",2,"United States of America",2018,2021,"Latinos",2000,202000,NA,0.185,"POWERLESS","false"
"24",2,"United States of America",2018,2021,"African Americans",3000,203000,NA,0.134,"POWERLESS","false"
"25",2,"United States of America",2018,2021,"Asian Americans",4000,204000,NA,0.059,"POWERLESS","false"
"26",2,"United States of America",2018,2021,"American Indians",5000,205000,NA,0.013,"POWERLESS","true"
"27",2,"United States of America",2018,2021,"Arab Americans",6000,206000,NA,0.005,"POWERLESS","false"
"28",20,"Canada",1946,1960,"English speakers",1000,2001000,NA,0.59,"SENIOR PARTNER","true"
"29",20,"Canada",1946,1960,"French speakers",2000,2002000,NA,0.28,"JUNIOR PARTNER","true"
"30",20,"Canada",1946,1960,"Indigenous peoples",4000,2004000,NA,0.02,"DISCRIMINATED","false"
"31",20,"Canada",1961,1984,"English speakers",1000,2001000,NA,0.59,"SENIOR PARTNER","true"
"32",20,"Canada",1961,1984,"French speakers",2000,2002000,NA,0.28,"JUNIOR PARTNER","true"
"33",20,"Canada",1961,1984,"Indigenous peoples",4000,2004000,NA,0.02,"POWERLESS","false"
"34",20,"Canada",1985,2021,"English speakers",1000,2001000,NA,0.59,"SENIOR PARTNER","true"
"35",20,"Canada",1985,2021,"French speakers",2000,2002000,NA,0.23,"JUNIOR PARTNER","true"
"36",20,"Canada",1985,2021,"Indigenous peoples",4000,2004000,NA,0.049,"POWERLESS","true"
"37",31,"Bahamas",1973,1992,"Afro-Bahamians (Black)",1000,3101000,NA,0.85,"DOMINANT",""
"38",31,"Bahamas",1973,1992,"Whites",2000,3102000,NA,0.047,"POWERLESS","false"
"39",31,"Bahamas",1993,2021,"Afro-Bahamians (Black)",1000,3101000,NA,0.85,"IRRELEVANT",""
"40",31,"Bahamas",1993,2021,"Whites",2000,3102000,NA,0.047,"IRRELEVANT",""
"41",40,"Cuba",1946,1959,"Whites",1000,4001000,NA,0.73,"DOMINANT",""
"42",40,"Cuba",1946,1959,"Afro-Cubans",2000,4002000,NA,0.27,"POWERLESS","false"
"43",40,"Cuba",1960,2021,"Whites",1000,4001000,NA,0.641,"IRRELEVANT",""
"44",40,"Cuba",1960,2021,"Afro-Cubans",2000,4002000,NA,0.359,"IRRELEVANT",""
"45",41,"Haiti",1946,2021,"Haitians",1000,4101000,NA,0.955,"IRRELEVANT",""
"46",42,"Dominican Republic",1946,2013,"Dominicans",1000,4201000,NA,0.93,"IRRELEVANT",""
"47",42,"Dominican Republic",2014,2021,"Dominicans",1000,4201000,NA,0.93,"MONOPOLY",""
"48",42,"Dominican Republic",2014,2021,"Dominican Haitians",2000,4202000,NA,0.023,"DISCRIMINATED","false"
"49",51,"Jamaica",1962,2021,"Jamaicans",1000,5101000,NA,1,"IRRELEVANT",""
"50",52,"Trinidad and Tobago",1962,1986,"East Indians",1000,5201000,NA,0.4,"POWERLESS","false"
"51",52,"Trinidad and Tobago",1962,1986,"Blacks",2000,5202000,NA,0.375,"DOMINANT",""
"52",52,"Trinidad and Tobago",1987,1991,"East Indians",1000,5201000,NA,0.4,"JUNIOR PARTNER","false"
"53",52,"Trinidad and Tobago",1987,1991,"Blacks",2000,5202000,NA,0.375,"SENIOR PARTNER","false"
"54",52,"Trinidad and Tobago",1992,1995,"East Indians",1000,5201000,NA,0.4,"POWERLESS","false"
"55",52,"Trinidad and Tobago",1992,1995,"Blacks",2000,5202000,NA,0.375,"DOMINANT",""
"56",52,"Trinidad and Tobago",1996,2002,"East Indians",1000,5201000,NA,0.4,"SENIOR PARTNER","false"
"57",52,"Trinidad and Tobago",1996,2002,"Blacks",2000,5202000,NA,0.375,"JUNIOR PARTNER","false"
"58",52,"Trinidad and Tobago",2003,2010,"East Indians",1000,5201000,NA,0.4,"JUNIOR PARTNER","false"
"59",52,"Trinidad and Tobago",2003,2010,"Blacks",2000,5202000,NA,0.375,"SENIOR PARTNER","false"
"60",52,"Trinidad and Tobago",2011,2015,"East Indians",1000,5201000,NA,0.354,"SENIOR PARTNER","false"
"61",52,"Trinidad and Tobago",2011,2015,"Blacks",2000,5202000,NA,0.342,"JUNIOR PARTNER","false"
"62",52,"Trinidad and Tobago",2016,2021,"East Indians",1000,5201000,NA,0.354,"JUNIOR PARTNER","false"
"63",52,"Trinidad and Tobago",2016,2021,"Blacks",2000,5202000,NA,0.342,"SENIOR PARTNER","false"
"64",53,"Barbados",1966,2021,"Barbadians",1000,5301000,NA,1,"IRRELEVANT",""
"65",70,"Mexico",1946,1974,"Mestizos",1000,7001000,NA,0.801,"DOMINANT",""
"66",70,"Mexico",1946,1974,"Other indigenous groups",3000,7003000,NA,0.142,"DISCRIMINATED","false"
"67",70,"Mexico",1946,1974,"Afromexicans",9000,7009000,NA,0.05,"DISCRIMINATED","false"
"68",70,"Mexico",1946,1974,"Maya",2000,7002000,NA,0.007,"DISCRIMINATED","false"
"69",70,"Mexico",1975,1997,"Mestizos",1000,7001000,NA,0.801,"DOMINANT",""
"70",70,"Mexico",1975,1997,"Other indigenous groups",3000,7003000,NA,0.142,"POWERLESS","false"
"71",70,"Mexico",1975,1997,"Afromexicans",9000,7009000,NA,0.05,"IRRELEVANT",""
"72",70,"Mexico",1975,1997,"Maya",2000,7002000,NA,0.007,"POWERLESS","false"
"73",70,"Mexico",1998,2016,"Mestizos",1000,7001000,NA,0.801,"DOMINANT",""
"74",70,"Mexico",1998,2016,"Other indigenous groups",3000,7003000,NA,0.142,"POWERLESS","false"
"75",70,"Mexico",1998,2016,"Afromexicans",9000,7009000,NA,0.05,"POWERLESS","false"
"76",70,"Mexico",1998,2016,"Maya",2000,7002000,NA,0.007,"SELF-EXCLUSION","true"
"77",70,"Mexico",2017,2021,"Mestizos",1000,7001000,NA,0.801,"DOMINANT",""
"78",70,"Mexico",2017,2021,"Other indigenous groups",3000,7003000,NA,0.142,"POWERLESS","false"
"79",70,"Mexico",2017,2021,"Afromexicans",9000,7009000,NA,0.05,"POWERLESS","false"
"80",70,"Mexico",2017,2021,"Maya",2000,7002000,NA,0.007,"POWERLESS","true"
"81",80,"Belize",1981,1984,"Mestizos",1000,8001000,NA,0.4357,"JUNIOR PARTNER","false"
"82",80,"Belize",1981,1984,"Creoles",2000,8002000,NA,0.298,"SENIOR PARTNER","false"
"83",80,"Belize",1981,1984,"Maya",3000,8003000,NA,0.1105,"POWERLESS","false"
"84",80,"Belize",1981,1984,"Garifuna",4000,8004000,NA,0.0664,"POWERLESS","false"
"85",80,"Belize",1985,1989,"Mestizos",1000,8001000,NA,0.4357,"SENIOR PARTNER","false"
"86",80,"Belize",1985,1989,"Creoles",2000,8002000,NA,0.298,"JUNIOR PARTNER","false"
"87",80,"Belize",1985,1989,"Maya",3000,8003000,NA,0.1105,"POWERLESS","false"
"88",80,"Belize",1985,1989,"Garifuna",4000,8004000,NA,0.0664,"POWERLESS","false"
"89",80,"Belize",1990,1993,"Mestizos",1000,8001000,NA,0.4357,"JUNIOR PARTNER","false"
"90",80,"Belize",1990,1993,"Creoles",2000,8002000,NA,0.298,"SENIOR PARTNER","false"
"91",80,"Belize",1990,1993,"Maya",3000,8003000,NA,0.1105,"POWERLESS","false"
"92",80,"Belize",1990,1993,"Garifuna",4000,8004000,NA,0.0664,"POWERLESS","false"
"93",80,"Belize",1994,1998,"Mestizos",1000,8001000,NA,0.4357,"SENIOR PARTNER","false"
"94",80,"Belize",1994,1998,"Creoles",2000,8002000,NA,0.298,"JUNIOR PARTNER","false"
"95",80,"Belize",1994,1998,"Maya",3000,8003000,NA,0.1105,"POWERLESS","false"
"96",80,"Belize",1994,1998,"Garifuna",4000,8004000,NA,0.0664,"POWERLESS","false"
"97",80,"Belize",1999,1999,"Mestizos",1000,8001000,NA,0.4357,"JUNIOR PARTNER","false"
"98",80,"Belize",1999,1999,"Creoles",2000,8002000,NA,0.298,"SENIOR PARTNER","false"
"99",80,"Belize",1999,1999,"Maya",3000,8003000,NA,0.1105,"POWERLESS","false"
"100",80,"Belize",1999,1999,"Garifuna",4000,8004000,NA,0.0664,"POWERLESS","false"
"101",80,"Belize",2000,2009,"Mestizos",1000,8001000,NA,0.487,"JUNIOR PARTNER","false"
"102",80,"Belize",2000,2009,"Creoles",2000,8002000,NA,0.2493,"SENIOR PARTNER","false"
"103",80,"Belize",2000,2009,"Maya",3000,8003000,NA,0.1056,"POWERLESS","false"
"104",80,"Belize",2000,2009,"Garifuna",4000,8004000,NA,0.0606,"POWERLESS","false"
"105",80,"Belize",2010,2020,"Mestizos",1000,8001000,NA,0.529,"JUNIOR PARTNER","false"
"106",80,"Belize",2010,2020,"Creoles",2000,8002000,NA,0.259,"SENIOR PARTNER","false"
"107",80,"Belize",2010,2020,"Maya",3000,8003000,NA,0.113,"POWERLESS","false"
"108",80,"Belize",2010,2020,"Garifuna",4000,8004000,NA,0.061,"POWERLESS","false"
"109",80,"Belize",2021,2021,"Mestizos",1000,8001000,NA,0.529,"SENIOR PARTNER","false"
"110",80,"Belize",2021,2021,"Creoles",2000,8002000,NA,0.259,"JUNIOR PARTNER","false"
"111",80,"Belize",2021,2021,"Maya",3000,8003000,NA,0.113,"POWERLESS","false"
"112",80,"Belize",2021,2021,"Garifuna",4000,8004000,NA,0.061,"POWERLESS","false"
"113",90,"Guatemala",1946,1954,"Maya",2000,9002000,NA,0.515,"POWERLESS","false"
"114",90,"Guatemala",1946,1954,"Ladinos",1000,9001000,NA,0.48,"MONOPOLY",""
"115",90,"Guatemala",1955,1995,"Maya",2000,9002000,NA,0.515,"DISCRIMINATED","false"
"116",90,"Guatemala",1955,1995,"Ladinos",1000,9001000,NA,0.48,"MONOPOLY",""
"117",90,"Guatemala",1996,2021,"Maya",2000,9002000,NA,0.515,"POWERLESS","false"
"118",90,"Guatemala",1996,2021,"Ladinos",1000,9001000,NA,0.48,"DOMINANT",""
"119",90,"Guatemala",1996,2021,"Xinca",4000,9004000,NA,0.003,"POWERLESS","false"
"120",90,"Guatemala",1996,2021,"Garífuna",3000,9003000,NA,0.002,"POWERLESS","false"
"121",91,"Honduras",1946,1974,"Whites/mestizos",6000,9106000,NA,0.91,"MONOPOLY",""
"122",91,"Honduras",1946,1974,"Garifuna",10000,9110000,NA,0.016,"DISCRIMINATED","false"
"123",91,"Honduras",1975,1989,"Whites/mestizos",6000,9106000,NA,0.91,"MONOPOLY",""
"124",91,"Honduras",1975,1989,"Indigenous peoples (Lenca, Maya-Chorti, Miskito, Tawahka/Sumu, Xicaque, Pech, Nahua)",7000,9107000,NA,0.07,"POWERLESS","false"
"125",91,"Honduras",1975,1989,"Garifuna",10000,9110000,NA,0.016,"DISCRIMINATED","false"
"126",91,"Honduras",1990,2021,"Whites/mestizos",6000,9106000,NA,0.91,"MONOPOLY",""
"127",91,"Honduras",1990,2021,"Indigenous peoples (Lenca, Maya-Chorti, Miskito, Tawahka/Sumu, Xicaque, Pech, Nahua)",7000,9107000,NA,0.073,"POWERLESS","false"
"128",91,"Honduras",1990,2021,"Garifuna",10000,9110000,NA,0.014,"POWERLESS","false"
"129",92,"El Salvador",1946,1994,"Whites/mestizos",1000,9201000,NA,0.9,"MONOPOLY",""
"130",92,"El Salvador",1946,1994,"Indigenous peoples",2000,9202000,NA,0.1,"DISCRIMINATED","false"
"131",92,"El Salvador",1995,2021,"Whites/mestizos",1000,9201000,NA,0.9,"MONOPOLY",""
"132",92,"El Salvador",1995,2021,"Indigenous peoples",2000,9202000,NA,0.1,"POWERLESS","false"
"133",93,"Nicaragua",1946,1987,"Whites/mestizos",1000,9301000,NA,0.86,"MONOPOLY",""
"134",93,"Nicaragua",1946,1987,"Afronicaraguans",2000,9302000,NA,0.09,"POWERLESS","false"
"135",93,"Nicaragua",1946,1987,"Miskitos",3000,9303000,NA,0.035,"POWERLESS","false"
"136",93,"Nicaragua",1946,1987,"Sumus",5000,9305000,NA,0.002,"POWERLESS","false"
"137",93,"Nicaragua",1988,2021,"Whites/mestizos",1000,9301000,NA,0.86,"DOMINANT",""
"138",93,"Nicaragua",1988,2021,"Afronicaraguans",2000,9302000,NA,0.09,"POWERLESS","false"
"139",93,"Nicaragua",1988,2021,"Miskitos",3000,9303000,NA,0.035,"POWERLESS","false"
"140",93,"Nicaragua",1988,2021,"Sumus",5000,9305000,NA,0.002,"POWERLESS","false"
"141",94,"Costa Rica",1946,1953,"Whites/mestizos",1000,9401000,NA,0.837,"MONOPOLY",""
"142",94,"Costa Rica",1946,1953,"Afro-Costa Ricans",2000,9402000,NA,0.078,"DISCRIMINATED","false"
"143",94,"Costa Rica",1946,1953,"Indigenous peoples",3000,9403000,NA,0.024,"DISCRIMINATED","false"
"144",94,"Costa Rica",1954,1991,"Whites/mestizos",1000,9401000,NA,0.837,"DOMINANT",""
"145",94,"Costa Rica",1954,1991,"Afro-Costa Ricans",2000,9402000,NA,0.078,"POWERLESS","false"
"146",94,"Costa Rica",1954,1991,"Indigenous peoples",3000,9403000,NA,0.024,"DISCRIMINATED","false"
"147",94,"Costa Rica",1992,2018,"Whites/mestizos",1000,9401000,NA,0.837,"DOMINANT",""
"148",94,"Costa Rica",1992,2018,"Afro-Costa Ricans",2000,9402000,NA,0.078,"POWERLESS","false"
"149",94,"Costa Rica",1992,2018,"Indigenous peoples",3000,9403000,NA,0.024,"POWERLESS","false"
"150",94,"Costa Rica",2019,2021,"Whites/mestizos",1000,9401000,NA,0.837,"SENIOR PARTNER","false"
"151",94,"Costa Rica",2019,2021,"Afro-Costa Ricans",2000,9402000,NA,0.078,"JUNIOR PARTNER","false"
"152",94,"Costa Rica",2019,2021,"Indigenous peoples",3000,9403000,NA,0.024,"POWERLESS","false"
"153",95,"Panama",1946,1959,"Whites/mestizos",1000,9501000,NA,0.837,"MONOPOLY",""
"154",95,"Panama",1946,1959,"Afropanamanians",2000,9502000,NA,0.146,"POWERLESS","false"
"155",95,"Panama",1946,1959,"Kuna",4000,9504000,NA,0.015,"POWERLESS","true"
"156",95,"Panama",1960,1983,"Whites/mestizos",1000,9501000,NA,0.8,"MONOPOLY",""
"157",95,"Panama",1960,1983,"Afropanamanians",2000,9502000,NA,0.14,"POWERLESS","false"
"158",95,"Panama",1960,1983,"Ngäbe-Buglé",3000,9503000,NA,0.04,"POWERLESS","false"
"159",95,"Panama",1960,1983,"Kuna",4000,9504000,NA,0.015,"POWERLESS","true"
"160",95,"Panama",1960,1983,"Choco (Embera-Wounan)",5000,9505000,NA,0.003,"POWERLESS","false"
"161",95,"Panama",1984,1997,"Whites/mestizos",1000,9501000,NA,0.8,"MONOPOLY",""
"162",95,"Panama",1984,1997,"Afropanamanians",2000,9502000,NA,0.14,"POWERLESS","false"
"163",95,"Panama",1984,1997,"Ngäbe-Buglé",3000,9503000,NA,0.04,"POWERLESS","false"
"164",95,"Panama",1984,1997,"Kuna",4000,9504000,NA,0.015,"POWERLESS","true"
"165",95,"Panama",1984,1997,"Choco (Embera-Wounan)",5000,9505000,NA,0.003,"POWERLESS","true"
"166",95,"Panama",1998,2021,"Whites/mestizos",1000,9501000,NA,0.71,"DOMINANT",""
"167",95,"Panama",1998,2021,"Afropanamanians",2000,9502000,NA,0.16,"POWERLESS","false"
"168",95,"Panama",1998,2021,"Ngäbe-Buglé",3000,9503000,NA,0.09,"POWERLESS","true"
"169",95,"Panama",1998,2021,"Kuna",4000,9504000,NA,0.025,"POWERLESS","true"
"170",95,"Panama",1998,2021,"Choco (Embera-Wounan)",5000,9505000,NA,0.01,"POWERLESS","true"
"171",100,"Colombia",1946,1979,"Whites/mestizos",1000,10001000,NA,0.955,"MONOPOLY",""
"172",100,"Colombia",1946,1979,"Indigenous peoples",2000,10002000,NA,0.044,"DISCRIMINATED","false"
"173",100,"Colombia",1980,1991,"Whites/mestizos",1000,10001000,NA,0.73,"MONOPOLY",""
"174",100,"Colombia",1980,1991,"Afro-Colombian",3000,10003000,NA,0.23,"POWERLESS","false"
"175",100,"Colombia",1980,1991,"Indigenous peoples",2000,10002000,NA,0.034,"DISCRIMINATED","false"
"176",100,"Colombia",1992,2021,"Whites/mestizos",1000,10001000,NA,0.71,"DOMINANT",""
"177",100,"Colombia",1992,2021,"Afro-Colombian",3000,10003000,NA,0.25,"POWERLESS","false"
"178",100,"Colombia",1992,2021,"Indigenous peoples",2000,10002000,NA,0.04,"POWERLESS","true"
"179",101,"Venezuela",1946,1972,"Whites/mestizos",1000,10101000,NA,0.848,"IRRELEVANT",""
"180",101,"Venezuela",1973,1999,"Whites/mestizos",1000,10101000,NA,0.848,"MONOPOLY",""
"181",101,"Venezuela",1973,1999,"Indigenous peoples",3000,10103000,NA,0.027,"POWERLESS","false"
"182",101,"Venezuela",2000,2017,"Whites/mestizos",1000,10101000,NA,0.848,"DOMINANT",""
"183",101,"Venezuela",2000,2017,"Afrovenezuelans",2000,10102000,NA,0.125,"POWERLESS","false"
"184",101,"Venezuela",2000,2017,"Indigenous peoples",3000,10103000,NA,0.027,"POWERLESS","true"
"185",101,"Venezuela",2018,2021,"Whites/mestizos",1000,10101000,NA,0.848,"DOMINANT",""
"186",101,"Venezuela",2018,2021,"Afrovenezuelans",2000,10102000,NA,0.125,"POWERLESS","false"
"187",101,"Venezuela",2018,2021,"Indigenous peoples",3000,10103000,NA,0.027,"POWERLESS","false"
"188",110,"Guyana",1966,1991,"Indo-Guyanese",1000,11001000,NA,0.435,"POWERLESS","false"
"189",110,"Guyana",1966,1991,"Afro-Guyanese",2000,11002000,NA,0.302,"DOMINANT",""
"190",110,"Guyana",1966,1991,"Indigenous peoples",3000,11003000,NA,0.092,"POWERLESS","false"
"191",110,"Guyana",1992,2015,"Indo-Guyanese",1000,11001000,NA,0.435,"DOMINANT",""
"192",110,"Guyana",1992,2015,"Afro-Guyanese",2000,11002000,NA,0.302,"POWERLESS","false"
"193",110,"Guyana",1992,2015,"Indigenous peoples",3000,11003000,NA,0.092,"POWERLESS","false"
"194",110,"Guyana",2016,2020,"Indo-Guyanese",1000,11001000,NA,0.398,"JUNIOR PARTNER","false"
"195",110,"Guyana",2016,2020,"Afro-Guyanese",2000,11002000,NA,0.292,"SENIOR PARTNER","false"
"196",110,"Guyana",2016,2020,"Indigenous peoples",3000,11003000,NA,0.105,"POWERLESS","false"
"197",110,"Guyana",2021,2021,"Indo-Guyanese",1000,11001000,NA,0.398,"SENIOR PARTNER","false"
"198",110,"Guyana",2021,2021,"Afro-Guyanese",2000,11002000,NA,0.292,"JUNIOR PARTNER","false"
"199",110,"Guyana",2021,2021,"Indigenous peoples",3000,11003000,NA,0.105,"POWERLESS","false"
"200",115,"Surinam",1975,1986,"East Indians",3000,11503000,NA,0.376,"JUNIOR PARTNER","false"
"201",115,"Surinam",1975,1986,"Creoles",1000,11501000,NA,0.314,"SENIOR PARTNER","false"
"202",115,"Surinam",1975,1986,"Javanese",5000,11505000,NA,0.152,"JUNIOR PARTNER","false"
"203",115,"Surinam",1975,1986,"Maroons",6000,11506000,NA,0.094,"POWERLESS","false"
"204",115,"Surinam",1975,1986,"Indigenous Peoples (Arawaks and Caribs)",4000,11504000,NA,0.02,"POWERLESS","false"
"205",115,"Surinam",1975,1986,"Chinese",2000,11502000,NA,0.015,"POWERLESS","false"
"206",115,"Surinam",1987,1992,"East Indians",3000,11503000,NA,0.376,"JUNIOR PARTNER","false"
"207",115,"Surinam",1987,1992,"Creoles",1000,11501000,NA,0.314,"SENIOR PARTNER","false"
"208",115,"Surinam",1987,1992,"Javanese",5000,11505000,NA,0.152,"JUNIOR PARTNER","false"
"209",115,"Surinam",1987,1992,"Maroons",6000,11506000,NA,0.094,"DISCRIMINATED","false"
"210",115,"Surinam",1987,1992,"Indigenous Peoples (Arawaks and Caribs)",4000,11504000,NA,0.02,"POWERLESS","false"
"211",115,"Surinam",1987,1992,"Chinese",2000,11502000,NA,0.015,"POWERLESS","false"
"212",115,"Surinam",1993,2003,"East Indians",3000,11503000,NA,0.376,"JUNIOR PARTNER","false"
"213",115,"Surinam",1993,2003,"Creoles",1000,11501000,NA,0.314,"SENIOR PARTNER","false"
"214",115,"Surinam",1993,2003,"Javanese",5000,11505000,NA,0.152,"JUNIOR PARTNER","false"
"215",115,"Surinam",1993,2003,"Maroons",6000,11506000,NA,0.094,"POWERLESS","false"
"216",115,"Surinam",1993,2003,"Indigenous Peoples (Arawaks and Caribs)",4000,11504000,NA,0.02,"POWERLESS","false"
"217",115,"Surinam",1993,2003,"Chinese",2000,11502000,NA,0.015,"POWERLESS","false"
"218",115,"Surinam",2004,2011,"Creoles",1000,11501000,NA,0.302,"SENIOR PARTNER","false"
"219",115,"Surinam",2004,2011,"East Indians",3000,11503000,NA,0.274,"JUNIOR PARTNER","false"
"220",115,"Surinam",2004,2011,"Maroons",6000,11506000,NA,0.147,"POWERLESS","false"
"221",115,"Surinam",2004,2011,"Javanese",5000,11505000,NA,0.146,"JUNIOR PARTNER","false"
"222",115,"Surinam",2004,2011,"Indigenous Peoples (Arawaks and Caribs)",4000,11504000,NA,0.02,"POWERLESS","false"
"223",115,"Surinam",2004,2011,"Chinese",2000,11502000,NA,0.015,"POWERLESS","false"
"224",115,"Surinam",2012,2020,"Creoles",1000,11501000,NA,0.2904,"SENIOR PARTNER","false"
"225",115,"Surinam",2012,2020,"East Indians",3000,11503000,NA,0.274,"JUNIOR PARTNER","false"
"226",115,"Surinam",2012,2020,"Maroons",6000,11506000,NA,0.217,"POWERLESS","false"
"227",115,"Surinam",2012,2020,"Javanese",5000,11505000,NA,0.137,"JUNIOR PARTNER","false"
"228",115,"Surinam",2012,2020,"Indigenous Peoples (Arawaks and Caribs)",4000,11504000,NA,0.038,"POWERLESS","false"
"229",115,"Surinam",2012,2020,"Chinese",2000,11502000,NA,0.015,"POWERLESS","false"
"230",115,"Surinam",2021,2021,"Creoles",1000,11501000,NA,0.2904,"JUNIOR PARTNER","false"
"231",115,"Surinam",2021,2021,"East Indians",3000,11503000,NA,0.274,"SENIOR PARTNER","false"
"232",115,"Surinam",2021,2021,"Maroons",6000,11506000,NA,0.217,"JUNIOR PARTNER","false"
"233",115,"Surinam",2021,2021,"Javanese",5000,11505000,NA,0.137,"POWERLESS","false"
"234",115,"Surinam",2021,2021,"Indigenous Peoples (Arawaks and Caribs)",4000,11504000,NA,0.038,"POWERLESS","false"
"235",115,"Surinam",2021,2021,"Chinese",2000,11502000,NA,0.015,"POWERLESS","false"
"236",130,"Ecuador",1946,1979,"Whites/mestizos",2000,13002000,NA,0.81,"MONOPOLY",""
"237",130,"Ecuador",1946,1979,"Indigenous highland peoples (Kichwa)",3000,13003000,NA,0.12,"DISCRIMINATED","false"
"238",130,"Ecuador",1946,1979,"Afro-Ecuadorians",5000,13005000,NA,0.05,"DISCRIMINATED","false"
"239",130,"Ecuador",1946,1979,"Indigenous lowland peoples (Shuar, Achuar etc.)",4000,13004000,NA,0.02,"DISCRIMINATED","false"
"240",130,"Ecuador",1980,2000,"Whites/mestizos",2000,13002000,NA,0.81,"MONOPOLY",""
"241",130,"Ecuador",1980,2000,"Indigenous highland peoples (Kichwa)",3000,13003000,NA,0.12,"POWERLESS","false"
"242",130,"Ecuador",1980,2000,"Afro-Ecuadorians",5000,13005000,NA,0.05,"POWERLESS","false"
"243",130,"Ecuador",1980,2000,"Indigenous lowland peoples (Shuar, Achuar etc.)",4000,13004000,NA,0.02,"POWERLESS","false"
"244",130,"Ecuador",2001,2004,"Whites/mestizos",2000,13002000,NA,0.81,"DOMINANT",""
"245",130,"Ecuador",2001,2004,"Indigenous highland peoples (Kichwa)",3000,13003000,NA,0.12,"POWERLESS","true"
"246",130,"Ecuador",2001,2004,"Afro-Ecuadorians",5000,13005000,NA,0.05,"POWERLESS","false"
"247",130,"Ecuador",2001,2004,"Indigenous lowland peoples (Shuar, Achuar etc.)",4000,13004000,NA,0.02,"POWERLESS","false"
"248",130,"Ecuador",2005,2021,"Whites/mestizos",2000,13002000,NA,0.81,"DOMINANT",""
"249",130,"Ecuador",2005,2021,"Indigenous highland peoples (Kichwa)",3000,13003000,NA,0.12,"POWERLESS","true"
"250",130,"Ecuador",2005,2021,"Afro-Ecuadorians",5000,13005000,NA,0.05,"POWERLESS","false"
"251",130,"Ecuador",2005,2021,"Indigenous lowland peoples (Shuar, Achuar etc.)",4000,13004000,NA,0.02,"POWERLESS","true"
"252",135,"Peru",1946,1967,"Whites/mestizos",2000,13502000,NA,0.52,"MONOPOLY",""
"253",135,"Peru",1946,1967,"Indigenous peoples of the Andes",1000,13501000,NA,0.361,"DISCRIMINATED","false"
"254",135,"Peru",1946,1967,"Afroperuvians",4000,13504000,NA,0.05,"DISCRIMINATED","false"
"255",135,"Peru",1946,1967,"Indigenous peoples of the Amazon",5000,13505000,NA,0.012,"DISCRIMINATED","false"
"256",135,"Peru",1968,1979,"Whites/mestizos",2000,13502000,NA,0.52,"DOMINANT",""
"257",135,"Peru",1968,1979,"Indigenous peoples of the Andes",1000,13501000,NA,0.361,"POWERLESS","false"
"258",135,"Peru",1968,1979,"Afroperuvians",4000,13504000,NA,0.05,"IRRELEVANT",""
"259",135,"Peru",1968,1979,"Indigenous peoples of the Amazon",5000,13505000,NA,0.012,"POWERLESS","false"
"260",135,"Peru",1980,2002,"Whites/mestizos",2000,13502000,NA,0.52,"DOMINANT",""
"261",135,"Peru",1980,2002,"Indigenous peoples of the Andes",1000,13501000,NA,0.361,"POWERLESS","false"
"262",135,"Peru",1980,2002,"Afroperuvians",4000,13504000,NA,0.05,"POWERLESS","false"
"263",135,"Peru",1980,2002,"Indigenous peoples of the Amazon",5000,13505000,NA,0.012,"POWERLESS","true"
